age,income,education,city,employment,target
38,54,bachelor,Kathmandu,self_employed,0
47,109,phd,Kathmandu,student,0
38,58,phd,Kathmandu,private,1
36,43,high_school,Pokhara,self_employed,0
24,76,bachelor,Kathmandu,self_employed,1
34,52,high_school,Kathmandu,student,0
28,109,master,Pokhara,private,1
30,110,high_school,Pokhara,government,0
46,50,master,Biratnagar,student,1
44,72,master,Lalitpur,private,1
43,118,high_school,Biratnagar,student,1
33,94,high_school,Kathmandu,student,0
58,41,master,Kathmandu,private,1
21,79,high_school,Lalitpur,government,0
32,81,bachelor,Kathmandu,government,1
22,85,master,Pokhara,government,0
32,22,bachelor,Lalitpur,private,0
58,49,bachelor,Lalitpur,private,0
33,105,bachelor,Pokhara,student,1
56,44,high_school,Biratnagar,student,0
38,49,phd,Pokhara,private,0
47,52,high_school,Biratnagar,student,1
37,37,high_school,Kathmandu,student,1
29,35,high_school,Kathmandu,student,0
50,54,phd,Pokhara,government,0
58,107,high_school,Kathmandu,government,0
29,20,master,Biratnagar,self_employed,1
50,48,bachelor,Kathmandu,government,0
28,26,master,Lalitpur,private,1
48,76,phd,Biratnagar,student,0
51,45,master,Pokhara,private,0
36,99,master,Biratnagar,student,0
48,78,high_school,Kathmandu,private,1
29,98,master,Pokhara,private,0
21,83,bachelor,Kathmandu,private,1
22,63,bachelor,Lalitpur,private,1
36,106,master,Biratnagar,government,1
55,67,phd,Lalitpur,self_employed,0
23,114,bachelor,Lalitpur,government,1
37,119,bachelor,Lalitpur,government,1
47,78,bachelor,Kathmandu,private,0
26,87,bachelor,Lalitpur,student,0
48,45,bachelor,Pokhara,government,0
30,101,bachelor,Pokhara,private,0
51,87,high_school,Pokhara,private,0
42,110,high_school,Kathmandu,private,0
40,46,master,Kathmandu,self_employed,0
25,98,bachelor,Kathmandu,government,1
37,67,master,Kathmandu,private,1
53,38,bachelor,Pokhara,government,0
18,37,high_school,Lalitpur,private,0
49,76,high_school,Pokhara,private,1
38,51,high_school,Pokhara,private,0
48,30,phd,Pokhara,private,1
45,62,high_school,Pokhara,government,0
36,85,bachelor,Kathmandu,student,0
30,51,master,Biratnagar,government,0
44,115,phd,Kathmandu,private,0
23,97,high_school,Biratnagar,government,0
42,71,high_school,Biratnagar,government,1
21,113,high_school,Pokhara,government,1
45,63,high_school,Lalitpur,government,0
44,33,high_school,Kathmandu,self_employed,1
21,23,bachelor,Lalitpur,private,1
49,113,master,Biratnagar,government,0
35,115,bachelor,Biratnagar,government,0
51,93,bachelor,Biratnagar,student,0
19,30,high_school,Biratnagar,private,0
25,49,master,Lalitpur,private,0
38,24,bachelor,Pokhara,private,1
25,25,master,Biratnagar,private,0
31,44,master,Biratnagar,private,0
45,77,high_school,Pokhara,government,0
24,26,high_school,Lalitpur,student,0
46,118,high_school,Kathmandu,self_employed,0
22,65,bachelor,Pokhara,private,0
25,46,master,Kathmandu,government,0
42,71,bachelor,Kathmandu,student,1
51,99,master,Biratnagar,private,0
25,51,bachelor,Kathmandu,student,1
30,24,high_school,Kathmandu,government,1
56,25,high_school,Kathmandu,private,0
59,105,bachelor,Pokhara,self_employed,0
42,31,bachelor,Biratnagar,private,0
36,83,bachelor,Lalitpur,private,1
32,58,high_school,Kathmandu,private,0
43,97,bachelor,Pokhara,government,1
42,26,high_school,Pokhara,private,1
30,109,master,Pokhara,private,1
18,89,high_school,Pokhara,student,1
24,64,high_school,Kathmandu,student,0
58,40,bachelor,Pokhara,student,1
35,117,bachelor,Pokhara,self_employed,1
38,50,bachelor,Pokhara,private,0
37,69,bachelor,Pokhara,student,1
50,59,phd,Biratnagar,self_employed,1
20,43,bachelor,Biratnagar,student,0
21,61,bachelor,Kathmandu,private,0
29,35,bachelor,Biratnagar,government,0
38,20,high_school,Lalitpur,self_employed,0
46,48,bachelor,Kathmandu,government,0
38,31,high_school,Pokhara,private,1
36,61,bachelor,Kathmandu,self_employed,0
57,106,high_school,Biratnagar,student,0
24,36,phd,Kathmandu,self_employed,0
42,20,bachelor,Biratnagar,self_employed,0
40,31,master,Kathmandu,self_employed,0
37,70,bachelor,Pokhara,private,0
51,47,high_school,Lalitpur,student,0
29,68,master,Kathmandu,government,1
58,22,bachelor,Lalitpur,private,0
31,53,master,Lalitpur,private,0
40,61,bachelor,Lalitpur,self_employed,1
39,63,bachelor,Kathmandu,government,0
53,75,master,Biratnagar,private,0
36,98,bachelor,Kathmandu,private,0
29,66,high_school,Kathmandu,student,0
18,104,bachelor,Lalitpur,student,1
33,72,bachelor,Biratnagar,student,0
52,46,phd,Pokhara,self_employed,0
18,42,bachelor,Kathmandu,government,1
55,52,bachelor,Biratnagar,private,1
40,79,master,Biratnagar,private,0
23,44,bachelor,Pokhara,government,1
30,111,bachelor,Lalitpur,self_employed,1
41,67,bachelor,Kathmandu,self_employed,0
31,106,high_school,Kathmandu,private,0
22,88,bachelor,Pokhara,self_employed,1
45,53,high_school,Lalitpur,private,1
46,42,high_school,Kathmandu,private,0
22,94,bachelor,Kathmandu,self_employed,1
29,53,bachelor,Kathmandu,private,1
28,44,master,Lalitpur,private,0
45,113,high_school,Kathmandu,private,0
48,68,high_school,Pokhara,private,0
48,24,phd,Lalitpur,private,0
57,69,high_school,Kathmandu,government,0
50,66,high_school,Pokhara,private,0
31,106,high_school,Pokhara,student,1
22,91,bachelor,Biratnagar,self_employed,1
43,39,master,Kathmandu,private,0
56,35,master,Pokhara,self_employed,1
58,80,bachelor,Kathmandu,student,0
27,24,high_school,Biratnagar,private,1
27,51,bachelor,Biratnagar,private,0
19,33,bachelor,Kathmandu,self_employed,0
23,22,high_school,Kathmandu,student,0
41,111,high_school,Lalitpur,self_employed,1
40,28,high_school,Kathmandu,private,0
33,20,high_school,Kathmandu,private,0
31,113,bachelor,Pokhara,private,1
52,38,bachelor,Kathmandu,student,0
37,101,high_school,Kathmandu,private,0
51,23,bachelor,Pokhara,private,0
58,35,master,Kathmandu,private,1
31,31,bachelor,Pokhara,government,1
26,90,master,Biratnagar,private,0
58,82,bachelor,Pokhara,student,0
44,67,master,Kathmandu,student,0
30,44,high_school,Biratnagar,student,0
44,28,bachelor,Kathmandu,student,0
39,76,high_school,Biratnagar,government,0
56,43,bachelor,Kathmandu,student,0
28,79,bachelor,Biratnagar,self_employed,1
59,88,high_school,Kathmandu,student,0
57,104,master,Kathmandu,student,0
25,69,high_school,Pokhara,self_employed,0
24,20,high_school,Kathmandu,private,0
40,48,high_school,Kathmandu,private,0
19,105,bachelor,Biratnagar,self_employed,1
30,73,high_school,Biratnagar,self_employed,0
36,81,bachelor,Kathmandu,government,0
58,65,high_school,Lalitpur,student,0
59,36,master,Biratnagar,private,1
24,109,master,Lalitpur,self_employed,1
55,97,bachelor,Biratnagar,self_employed,0
21,119,bachelor,Biratnagar,student,1
49,105,master,Pokhara,private,0
53,49,phd,Biratnagar,private,0
55,45,bachelor,Lalitpur,student,0
27,44,master,Kathmandu,government,0
55,111,master,Kathmandu,private,1
22,75,master,Kathmandu,private,1
39,65,bachelor,Lalitpur,student,0
37,116,high_school,Pokhara,private,0
31,80,high_school,Biratnagar,student,1
18,110,bachelor,Biratnagar,private,1
50,118,bachelor,Lalitpur,student,0
32,27,bachelor,Kathmandu,self_employed,0
45,56,bachelor,Biratnagar,student,1
35,93,bachelor,Lalitpur,private,0
33,101,master,Kathmandu,student,1
55,34,high_school,Biratnagar,student,0
21,51,high_school,Kathmandu,student,1
48,74,master,Pokhara,student,0
49,99,master,Pokhara,student,1
33,31,phd,Kathmandu,private,0
29,80,master,Kathmandu,government,1
18,49,master,Kathmandu,student,0
57,41,high_school,Kathmandu,private,0
57,71,bachelor,Pokhara,private,1
28,61,high_school,Kathmandu,student,0
19,83,bachelor,Kathmandu,private,0
23,51,master,Biratnagar,student,0
20,102,high_school,Biratnagar,student,0
52,27,bachelor,Pokhara,private,1
55,106,high_school,Lalitpur,self_employed,0
24,22,high_school,Kathmandu,self_employed,1
49,93,high_school,Biratnagar,self_employed,1
25,54,high_school,Kathmandu,private,0
33,58,master,Biratnagar,student,0
43,21,bachelor,Lalitpur,private,1
48,90,master,Biratnagar,student,0
54,36,bachelor,Pokhara,student,0
19,85,high_school,Pokhara,student,0
26,92,high_school,Kathmandu,private,1
29,104,master,Biratnagar,private,1
31,90,high_school,Biratnagar,student,0
59,50,master,Lalitpur,government,1
50,93,high_school,Pokhara,private,1
31,102,bachelor,Kathmandu,self_employed,0
58,51,master,Pokhara,student,0
38,32,high_school,Kathmandu,private,1
39,109,high_school,Kathmandu,student,0
36,34,phd,Kathmandu,private,1
24,79,high_school,Biratnagar,student,1
57,43,bachelor,Kathmandu,student,0
18,32,bachelor,Kathmandu,government,1
25,97,high_school,Kathmandu,private,1
27,34,master,Lalitpur,student,0
29,87,master,Biratnagar,self_employed,1
23,89,bachelor,Kathmandu,student,1
18,26,master,Kathmandu,private,0
46,37,high_school,Pokhara,private,1
58,99,high_school,Kathmandu,private,0
23,70,bachelor,Pokhara,private,0
30,32,phd,Pokhara,student,0
39,119,high_school,Lalitpur,government,0
56,46,high_school,Kathmandu,student,0
47,20,bachelor,Biratnagar,student,0
50,112,master,Kathmandu,private,1
42,21,high_school,Lalitpur,self_employed,0
35,75,bachelor,Lalitpur,government,1
26,119,bachelor,Biratnagar,self_employed,0
54,77,bachelor,Pokhara,government,1
51,78,high_school,Kathmandu,government,0
19,58,high_school,Biratnagar,private,0
48,32,bachelor,Biratnagar,self_employed,1
21,77,bachelor,Kathmandu,private,1
49,109,master,Pokhara,private,0
52,29,bachelor,Pokhara,government,1
23,108,bachelor,Biratnagar,private,1
36,61,phd,Biratnagar,student,0
23,73,bachelor,Pokhara,private,1
41,36,bachelor,Pokhara,private,0
56,82,master,Kathmandu,self_employed,0
21,38,high_school,Kathmandu,private,0
34,47,bachelor,Kathmandu,self_employed,0
58,92,master,Biratnagar,private,0
30,25,high_school,Pokhara,government,0
23,64,bachelor,Pokhara,student,1
38,79,high_school,Kathmandu,self_employed,0
39,33,high_school,Kathmandu,private,1
45,49,bachelor,Pokhara,private,1
31,54,high_school,Kathmandu,student,0
58,86,master,Kathmandu,private,0
39,117,master,Biratnagar,private,0
30,103,master,Kathmandu,government,1
58,38,high_school,Kathmandu,self_employed,0
56,21,high_school,Pokhara,government,0
38,25,high_school,Biratnagar,private,0
19,79,high_school,Kathmandu,private,0
43,35,master,Biratnagar,self_employed,0
41,43,bachelor,Lalitpur,self_employed,0
24,104,high_school,Biratnagar,private,0
44,107,master,Pokhara,self_employed,0
53,103,bachelor,Biratnagar,private,0
22,45,high_school,Pokhara,self_employed,0
48,81,high_school,Pokhara,self_employed,1
23,81,bachelor,Pokhara,government,1
49,38,master,Kathmandu,student,0
35,75,high_school,Kathmandu,private,0
18,72,master,Pokhara,student,1
58,59,master,Kathmandu,government,1
24,95,master,Pokhara,private,0
43,87,high_school,Pokhara,government,0
25,73,high_school,Lalitpur,self_employed,0
57,92,master,Kathmandu,student,0
49,96,high_school,Pokhara,private,0
51,76,bachelor,Pokhara,government,0
36,46,master,Kathmandu,private,0
37,95,high_school,Kathmandu,student,0
44,91,master,Kathmandu,student,1
50,118,master,Kathmandu,private,1
53,34,bachelor,Kathmandu,government,0
18,61,bachelor,Pokhara,private,1
45,112,master,Pokhara,student,1
22,71,bachelor,Kathmandu,private,1
30,114,bachelor,Kathmandu,private,1
52,21,master,Kathmandu,private,0
28,23,bachelor,Pokhara,government,0
51,99,high_school,Kathmandu,private,0
37,55,high_school,Pokhara,private,0
27,72,high_school,Kathmandu,self_employed,0
32,62,bachelor,Kathmandu,private,1
40,60,bachelor,Lalitpur,government,0
50,113,bachelor,Kathmandu,student,1
43,29,bachelor,Kathmandu,student,0
57,97,master,Kathmandu,student,0
54,108,master,Lalitpur,government,0
49,85,high_school,Pokhara,self_employed,0
43,59,bachelor,Pokhara,student,1
30,36,bachelor,Lalitpur,student,0
35,88,bachelor,Kathmandu,private,1
22,66,high_school,Lalitpur,private,0
33,34,master,Kathmandu,government,0
56,55,phd,Pokhara,government,0
35,116,bachelor,Pokhara,self_employed,0
22,46,master,Kathmandu,private,0
45,37,phd,Lalitpur,government,0
58,88,bachelor,Kathmandu,private,0
54,39,bachelor,Lalitpur,private,0
29,111,bachelor,Kathmandu,self_employed,1
37,105,phd,Pokhara,student,1
40,118,high_school,Lalitpur,government,0
28,111,bachelor,Kathmandu,government,0
29,44,master,Lalitpur,self_employed,0
27,41,high_school,Pokhara,private,0
59,54,master,Biratnagar,private,0
49,66,bachelor,Kathmandu,self_employed,1
53,107,phd,Pokhara,government,1
52,93,master,Biratnagar,private,0
58,84,high_school,Pokhara,government,1
22,107,master,Kathmandu,private,1
55,84,high_school,Kathmandu,private,0
20,57,bachelor,Lalitpur,self_employed,0
37,61,bachelor,Kathmandu,private,1
42,71,master,Biratnagar,private,0
33,28,high_school,Lalitpur,self_employed,0
24,94,high_school,Kathmandu,government,0
26,85,bachelor,Kathmandu,self_employed,0
52,93,bachelor,Biratnagar,private,0
31,73,bachelor,Kathmandu,self_employed,1
31,98,high_school,Pokhara,student,0
56,114,high_school,Biratnagar,private,0
24,76,master,Pokhara,private,0
56,64,high_school,Kathmandu,government,0
56,30,bachelor,Biratnagar,self_employed,1
43,97,master,Pokhara,government,0
24,110,high_school,Kathmandu,government,0
24,89,bachelor,Pokhara,private,1
29,106,high_school,Lalitpur,private,1
42,106,master,Biratnagar,private,0
24,99,bachelor,Pokhara,student,0
37,70,master,Kathmandu,private,1
22,29,high_school,Kathmandu,self_employed,0
40,20,bachelor,Kathmandu,government,0
18,40,master,Kathmandu,government,0
47,63,high_school,Lalitpur,private,0
20,94,high_school,Kathmandu,private,1
26,65,high_school,Biratnagar,student,0
25,22,phd,Kathmandu,private,0
52,41,bachelor,Kathmandu,private,0
20,117,bachelor,Pokhara,private,1
36,118,bachelor,Kathmandu,student,1
42,57,bachelor,Biratnagar,government,0
39,100,bachelor,Lalitpur,private,0
46,91,bachelor,Lalitpur,private,0
51,113,bachelor,Kathmandu,student,0
34,108,high_school,Biratnagar,private,1
52,82,master,Kathmandu,private,0
31,59,master,Lalitpur,private,1
59,82,high_school,Pokhara,private,1
39,51,bachelor,Kathmandu,student,0
48,54,high_school,Kathmandu,self_employed,0
54,80,phd,Kathmandu,student,1
51,77,master,Kathmandu,private,0
53,78,master,Lalitpur,student,1
40,58,high_school,Biratnagar,private,0
19,60,high_school,Lalitpur,private,0
38,21,high_school,Kathmandu,self_employed,1
25,80,high_school,Pokhara,private,0
55,77,high_school,Kathmandu,government,0
27,113,high_school,Pokhara,student,0
27,70,phd,Kathmandu,student,1
28,66,high_school,Kathmandu,private,0
44,26,high_school,Pokhara,private,0
41,39,master,Kathmandu,private,0
57,53,bachelor,Pokhara,self_employed,0
35,57,master,Biratnagar,government,0
29,56,bachelor,Kathmandu,self_employed,1
20,59,master,Lalitpur,private,0
18,96,bachelor,Pokhara,government,1
33,33,bachelor,Biratnagar,private,0
56,53,bachelor,Biratnagar,government,0
39,36,bachelor,Biratnagar,self_employed,0
55,50,high_school,Biratnagar,government,0
22,88,bachelor,Lalitpur,self_employed,1
21,24,high_school,Pokhara,government,0
53,53,master,Kathmandu,student,0
22,22,high_school,Kathmandu,government,0
20,115,high_school,Pokhara,private,1
34,92,high_school,Kathmandu,self_employed,0
56,44,master,Kathmandu,self_employed,0
46,39,high_school,Kathmandu,student,1
22,29,bachelor,Pokhara,student,0
53,67,master,Kathmandu,student,0
53,95,high_school,Pokhara,private,0
51,78,master,Biratnagar,student,0
55,108,high_school,Biratnagar,government,0
28,54,high_school,Kathmandu,private,0
59,47,bachelor,Pokhara,self_employed,0
31,67,master,Pokhara,private,1
51,40,high_school,Pokhara,private,0
42,117,bachelor,Biratnagar,student,1
50,38,high_school,Kathmandu,self_employed,0
44,67,bachelor,Lalitpur,student,1
44,72,bachelor,Kathmandu,student,1
43,25,bachelor,Biratnagar,student,1
50,66,bachelor,Pokhara,self_employed,1
49,65,high_school,Kathmandu,student,0
23,45,bachelor,Biratnagar,government,1
52,32,bachelor,Kathmandu,government,0
40,24,bachelor,Biratnagar,government,1
31,20,high_school,Pokhara,student,0
39,68,bachelor,Kathmandu,student,1
58,28,bachelor,Kathmandu,private,1
54,115,high_school,Biratnagar,student,1
53,44,high_school,Kathmandu,government,0
37,85,bachelor,Lalitpur,private,0
50,87,bachelor,Biratnagar,private,0
34,69,high_school,Biratnagar,student,1
46,108,master,Kathmandu,private,0
44,31,bachelor,Biratnagar,student,1
28,43,master,Lalitpur,government,1
29,45,bachelor,Kathmandu,student,0
20,33,bachelor,Kathmandu,self_employed,1
23,49,bachelor,Kathmandu,government,0
36,51,master,Kathmandu,student,0
38,96,bachelor,Biratnagar,student,0
24,50,bachelor,Pokhara,private,1
35,107,bachelor,Pokhara,student,1
43,97,bachelor,Kathmandu,student,1
27,110,high_school,Kathmandu,self_employed,0
32,30,bachelor,Kathmandu,government,0
33,118,bachelor,Lalitpur,student,1
39,81,master,Pokhara,private,1
33,118,bachelor,Kathmandu,private,1
48,55,bachelor,Biratnagar,self_employed,0
31,115,phd,Kathmandu,student,0
36,78,bachelor,Kathmandu,government,0
33,27,high_school,Kathmandu,government,0
25,61,high_school,Lalitpur,student,0
46,33,high_school,Biratnagar,student,0
27,114,high_school,Pokhara,private,1
30,50,bachelor,Kathmandu,self_employed,0
51,42,master,Kathmandu,private,0
57,75,bachelor,Pokhara,government,0
46,62,high_school,Kathmandu,government,1
56,29,bachelor,Lalitpur,self_employed,0
53,101,high_school,Biratnagar,private,1
38,104,master,Pokhara,private,0
50,94,high_school,Biratnagar,government,0
31,81,bachelor,Lalitpur,private,0
37,60,high_school,Pokhara,self_employed,1
40,74,bachelor,Pokhara,student,1
58,72,bachelor,Lalitpur,student,0
53,36,master,Kathmandu,self_employed,0
38,28,high_school,Lalitpur,private,0
45,45,master,Kathmandu,student,0
26,65,bachelor,Pokhara,student,1
51,36,master,Biratnagar,private,0
41,30,master,Pokhara,self_employed,0
40,105,phd,Pokhara,student,0
50,57,high_school,Pokhara,student,0
44,78,high_school,Kathmandu,private,0
21,72,high_school,Kathmandu,self_employed,0
30,93,high_school,Kathmandu,private,0
25,93,bachelor,Pokhara,self_employed,1
48,49,phd,Pokhara,self_employed,1
19,104,phd,Kathmandu,private,0
26,57,bachelor,Lalitpur,self_employed,0
43,103,bachelor,Kathmandu,government,0
47,60,master,Pokhara,private,0
39,31,master,Pokhara,private,0
54,96,high_school,Kathmandu,self_employed,0
56,23,bachelor,Biratnagar,government,1
23,97,master,Pokhara,government,1
58,24,high_school,Kathmandu,self_employed,0
43,40,bachelor,Lalitpur,private,0
44,80,phd,Biratnagar,self_employed,0
21,114,phd,Biratnagar,self_employed,1
44,60,master,Lalitpur,student,0
48,32,master,Lalitpur,student,1
42,43,high_school,Kathmandu,private,0
21,109,high_school,Pokhara,self_employed,0
39,92,bachelor,Pokhara,private,1
57,30,bachelor,Kathmandu,government,0
48,58,bachelor,Kathmandu,student,1
23,46,bachelor,Kathmandu,private,1
58,37,bachelor,Biratnagar,government,0
58,104,bachelor,Biratnagar,student,0
25,81,high_school,Biratnagar,self_employed,1
51,37,high_school,Kathmandu,student,0
35,85,high_school,Kathmandu,self_employed,0
42,61,high_school,Pokhara,student,0
36,26,master,Pokhara,self_employed,0
50,64,bachelor,Lalitpur,government,0
59,38,high_school,Lalitpur,student,0
51,44,master,Lalitpur,student,1
57,107,bachelor,Lalitpur,student,0
57,91,high_school,Lalitpur,private,0
21,33,high_school,Pokhara,self_employed,0
28,105,high_school,Kathmandu,private,0
48,77,bachelor,Kathmandu,private,0
42,107,high_school,Kathmandu,private,1
20,94,high_school,Kathmandu,private,0
21,53,high_school,Kathmandu,government,0
39,73,bachelor,Lalitpur,private,1
43,73,high_school,Kathmandu,government,0
25,91,master,Lalitpur,self_employed,1
25,44,high_school,Biratnagar,private,1
23,53,bachelor,Pokhara,student,0
41,44,bachelor,Biratnagar,student,0
18,49,bachelor,Kathmandu,private,1
42,36,high_school,Pokhara,private,0
37,23,master,Kathmandu,self_employed,0
37,114,master,Lalitpur,government,1
46,27,high_school,Kathmandu,private,1
39,108,high_school,Kathmandu,government,0
48,20,master,Biratnagar,private,0
50,97,bachelor,Biratnagar,self_employed,0
56,52,high_school,Pokhara,student,0
51,71,high_school,Pokhara,government,0
39,48,bachelor,Kathmandu,self_employed,0
38,69,bachelor,Biratnagar,government,0
27,65,bachelor,Kathmandu,self_employed,1
43,72,phd,Kathmandu,private,0
23,59,bachelor,Kathmandu,self_employed,0
57,73,high_school,Kathmandu,private,0
53,102,bachelor,Kathmandu,government,0
23,63,bachelor,Pokhara,student,0
51,56,high_school,Kathmandu,student,0
22,33,high_school,Kathmandu,private,0
48,55,bachelor,Pokhara,student,1
