age,income,education_level,job_level,city,approved
28,27805,bachelor,junior,Munich,no
38,43526,phd,junior,London,yes
23,58232,master,entry,Geneva,yes
36,64239,bachelor,entry,Geneva,no
54,51692,master,senior,Vienna,yes
50,44309,master,entry,Geneva,yes
45,51232,bachelor,entry,Berlin,yes
55,29998,high_school,entry,Cambridge,no
51,37701,master,entry,Berlin,yes
46,27638,bachelor,senior,Vienna,no
54,21268,bachelor,junior,Munich,yes
24,45003,high_school,lead,Munich,yes
52,42782,bachelor,entry,Berlin,yes
31,50314,high_school,mid,Cambridge,yes
49,48191,master,junior,Geneva,yes
56,43639,high_school,junior,Geneva,no
39,48349,high_school,senior,London,yes
23,39359,master,lead,Berlin,yes
34,46193,high_school,senior,Vienna,no
36,29107,high_school,entry,Geneva,yes
57,45545,bachelor,entry,Vienna,yes
57,50026,master,mid,Berlin,yes
42,29954,high_school,junior,Cambridge,yes
58,40777,high_school,mid,Munich,yes
37,30645,master,mid,London,no
36,32102,phd,mid,London,yes
53,23126,bachelor,senior,Geneva,yes
46,58986,high_school,mid,Berlin,yes
40,55985,high_school,entry,Munich,yes
38,48061,high_school,entry,London,no
48,69582,high_school,mid,Cambridge,yes
50,37161,bachelor,junior,Cambridge,no
39,85476,high_school,junior,Munich,no
21,36587,bachelor,junior,Vienna,yes
24,43827,bachelor,senior,Berlin,yes
25,34033,bachelor,senior,London,yes
38,45584,high_school,mid,Geneva,no
44,52534,master,junior,London,yes
52,38291,bachelor,junior,London,no
29,66650,bachelor,mid,Cambridge,yes
51,43587,high_school,junior,Geneva,no
46,44057,high_school,mid,Geneva,yes
22,26365,master,mid,Vienna,yes
34,46277,bachelor,entry,Berlin,no
32,37989,high_school,entry,Berlin,yes
55,30876,bachelor,entry,Vienna,no
56,28352,bachelor,senior,London,yes
52,80076,phd,mid,Vienna,yes
41,36047,high_school,entry,London,no
39,18145,master,senior,Munich,yes
32,29526,high_school,junior,Geneva,yes
50,39226,bachelor,junior,Vienna,yes
23,48200,bachelor,senior,Geneva,yes
30,48321,high_school,entry,Berlin,no
25,50149,high_school,entry,Berlin,yes
39,30327,bachelor,mid,Cambridge,yes
31,45106,phd,entry,Vienna,yes
27,26859,bachelor,mid,Munich,no
35,30705,master,entry,Munich,yes
54,26234,master,entry,Berlin,no
42,22174,bachelor,entry,Cambridge,no
52,55963,master,junior,Berlin,yes
56,50329,high_school,entry,London,no
56,54649,high_school,entry,Munich,no
34,40589,master,senior,Geneva,yes
55,51652,master,junior,Munich,yes
56,13580,high_school,junior,London,no
58,52946,bachelor,entry,Berlin,no
34,42656,bachelor,junior,Geneva,no
29,49406,master,junior,Munich,no
43,45700,bachelor,mid,Munich,yes
57,25194,bachelor,entry,Munich,no
56,17529,bachelor,senior,Cambridge,no
42,29319,bachelor,senior,Geneva,yes
25,48473,bachelor,entry,Geneva,yes
36,50351,master,entry,Geneva,yes
48,19480,bachelor,entry,Cambridge,no
42,25283,high_school,mid,Geneva,yes
33,29151,high_school,entry,Geneva,no
33,34640,bachelor,senior,Munich,yes
22,19569,master,senior,Munich,yes
31,18669,high_school,senior,Berlin,no
46,27672,high_school,mid,Vienna,yes
29,41293,bachelor,lead,Berlin,no
59,22291,high_school,entry,Munich,yes
23,38262,master,junior,Munich,no
43,55878,high_school,junior,Munich,yes
39,20473,high_school,senior,London,no
53,36903,master,mid,Vienna,yes
55,55371,high_school,senior,Cambridge,yes
41,33725,high_school,entry,Geneva,yes
45,31394,high_school,lead,Cambridge,yes
47,57452,high_school,junior,Berlin,no
40,35406,high_school,junior,Vienna,no
27,56567,high_school,lead,London,yes
37,46434,high_school,junior,Vienna,yes
29,34857,high_school,junior,Cambridge,no
38,47195,bachelor,mid,Munich,yes
44,44806,bachelor,entry,Berlin,no
28,55313,bachelor,junior,London,yes
29,31774,high_school,entry,Berlin,no
52,40618,bachelor,entry,London,no
35,39077,master,senior,London,yes
27,50562,master,mid,Cambridge,yes
48,24622,high_school,junior,Geneva,yes
48,55254,high_school,junior,Cambridge,no
53,46994,high_school,junior,Munich,yes
50,20246,high_school,mid,Geneva,no
59,58123,bachelor,senior,Berlin,yes
42,73511,bachelor,senior,London,yes
31,55027,high_school,junior,London,no
54,61404,bachelor,junior,London,yes
30,41280,bachelor,junior,London,no
31,15077,high_school,mid,Munich,yes
53,12338,master,junior,Berlin,no
55,43826,high_school,mid,Cambridge,no
33,31120,master,mid,Geneva,no
49,26281,high_school,junior,Berlin,no
56,39058,master,junior,Cambridge,yes
51,49233,master,junior,Cambridge,no
20,18208,phd,entry,Geneva,yes
46,33266,master,entry,London,no
26,62648,master,mid,Berlin,yes
53,23870,bachelor,junior,Berlin,yes
22,53046,master,entry,Munich,yes
59,32729,high_school,mid,Vienna,yes
27,48186,bachelor,senior,Berlin,yes
36,56459,bachelor,junior,Berlin,no
29,51119,master,senior,London,yes
52,53637,bachelor,senior,London,yes
35,22726,bachelor,mid,London,no
49,56704,bachelor,mid,London,yes
22,27209,high_school,entry,London,no
38,43893,high_school,senior,Vienna,no
56,43873,bachelor,junior,Vienna,yes
57,47276,bachelor,senior,Cambridge,yes
28,45054,high_school,mid,Geneva,yes
35,27342,bachelor,entry,Berlin,no
36,19751,bachelor,entry,London,no
42,53085,high_school,mid,Munich,yes
41,42787,bachelor,mid,Cambridge,yes
24,57240,bachelor,entry,Geneva,no
50,39329,high_school,mid,Cambridge,yes
29,18922,master,senior,Berlin,yes
32,54491,master,junior,Vienna,no
53,34444,bachelor,junior,Geneva,no
47,45130,high_school,entry,Geneva,no
35,30288,bachelor,senior,Munich,yes
56,64664,master,junior,Cambridge,no
35,26851,bachelor,senior,Geneva,yes
42,34938,master,junior,Cambridge,yes
29,41611,bachelor,mid,Geneva,yes
27,23617,bachelor,junior,Berlin,yes
39,44957,high_school,entry,Cambridge,no
42,64178,bachelor,senior,Munich,yes
52,32643,high_school,junior,Munich,no
35,45927,bachelor,mid,Cambridge,yes
55,8000,master,lead,Cambridge,yes
44,39416,high_school,lead,Cambridge,no
22,35304,bachelor,senior,Geneva,yes
49,27722,high_school,entry,London,no
42,56221,bachelor,mid,Munich,yes
35,35106,high_school,senior,London,no
38,37337,master,junior,Vienna,no
32,34342,high_school,entry,Berlin,yes
44,11247,phd,senior,Geneva,yes
42,23020,master,junior,Geneva,no
37,54416,bachelor,mid,Munich,yes
31,8350,master,lead,Geneva,yes
35,28505,master,mid,Vienna,yes
39,34004,master,junior,Berlin,yes
38,66154,high_school,junior,Berlin,yes
32,51529,bachelor,junior,London,yes
43,31642,high_school,entry,Geneva,no
29,59567,bachelor,senior,Vienna,yes
40,28892,high_school,senior,Vienna,no
24,55136,bachelor,junior,Vienna,yes
38,19616,bachelor,junior,Geneva,no
51,56098,bachelor,senior,Geneva,yes
52,33907,bachelor,entry,London,no
47,24572,master,mid,Cambridge,yes
49,36742,master,junior,Munich,yes
22,44160,bachelor,mid,London,yes
33,32578,bachelor,entry,Cambridge,no
46,48309,master,mid,Berlin,no
52,31255,high_school,junior,London,yes
43,49305,high_school,mid,Geneva,yes
54,46633,high_school,entry,Cambridge,no
30,39086,bachelor,junior,Vienna,no
26,33379,bachelor,mid,Cambridge,yes
23,42273,master,entry,Berlin,no
43,48253,bachelor,entry,Berlin,no
46,70926,high_school,entry,Cambridge,no
31,54091,master,junior,Vienna,yes
51,54639,master,entry,Vienna,yes
49,86327,high_school,senior,Munich,yes
34,47739,bachelor,junior,Munich,no
29,47269,high_school,senior,London,yes
49,50560,high_school,lead,Munich,no
46,24865,high_school,entry,Vienna,no
26,33341,master,mid,Munich,yes
30,32407,bachelor,senior,Munich,yes
39,49714,bachelor,mid,Berlin,yes
40,37387,bachelor,junior,Cambridge,yes
26,42073,bachelor,junior,Cambridge,no
57,56311,master,entry,Berlin,no
35,52947,master,mid,Geneva,yes
35,37574,bachelor,lead,Vienna,no
22,29950,bachelor,lead,Geneva,yes
55,57029,phd,entry,London,yes
29,51608,bachelor,mid,Munich,yes
59,15906,phd,junior,Berlin,no
39,35302,high_school,senior,Geneva,yes
54,42482,master,entry,Vienna,yes
27,51682,bachelor,senior,Munich,yes
26,53651,high_school,senior,London,yes
52,44258,bachelor,entry,Berlin,yes
52,48778,bachelor,entry,Berlin,yes
41,40962,high_school,senior,Vienna,yes
21,29892,bachelor,entry,Vienna,yes
57,36081,master,mid,Munich,yes
35,40284,high_school,senior,Munich,yes
57,39479,bachelor,mid,Berlin,yes
54,11716,bachelor,junior,Vienna,no
54,34037,high_school,junior,Geneva,no
47,40843,master,entry,Berlin,yes
46,35779,master,lead,Geneva,yes
41,36297,high_school,junior,Cambridge,yes
20,47319,phd,entry,Munich,yes
35,23815,master,junior,Cambridge,yes
49,15579,high_school,lead,Munich,no
52,34777,master,entry,Munich,no
42,51461,high_school,senior,Munich,yes
48,65313,phd,mid,Munich,yes
20,51731,bachelor,senior,Berlin,yes
38,17976,bachelor,lead,Vienna,no
40,36514,high_school,senior,Geneva,yes
55,43849,master,senior,London,yes
32,42663,high_school,entry,Geneva,yes
29,48089,high_school,senior,Geneva,yes
34,26244,high_school,mid,Geneva,yes
26,40974,master,mid,Berlin,no
42,46304,high_school,senior,London,no
45,52385,master,lead,Berlin,yes
52,27914,bachelor,mid,London,yes
58,34822,high_school,junior,Cambridge,no
22,8000,high_school,junior,London,no
29,30678,high_school,junior,Geneva,no
32,32133,bachelor,junior,Munich,yes
29,24706,master,junior,Cambridge,no
53,42484,high_school,entry,Munich,no
25,39160,master,entry,Geneva,no
21,8000,high_school,senior,London,no
54,43232,master,junior,Cambridge,yes
58,26075,master,senior,Cambridge,yes
29,47285,master,mid,Berlin,yes
33,20772,bachelor,entry,Cambridge,no
40,40450,master,entry,Berlin,yes
41,35752,high_school,entry,Vienna,no
59,44546,high_school,lead,Cambridge,yes
36,41870,high_school,entry,Vienna,no
20,36172,bachelor,mid,Cambridge,yes
36,16955,bachelor,senior,Geneva,no
42,17841,bachelor,lead,Munich,yes
40,31241,master,entry,Munich,yes
40,39875,high_school,entry,Geneva,yes
56,30876,bachelor,entry,London,no
52,49378,high_school,entry,Geneva,no
30,35811,high_school,entry,London,yes
34,25524,bachelor,mid,Geneva,no
46,35828,phd,senior,Munich,yes
36,43387,bachelor,mid,Munich,yes
37,44873,high_school,mid,Vienna,yes
26,68175,bachelor,entry,Cambridge,yes
30,29966,high_school,senior,Cambridge,no
49,38897,master,mid,Munich,yes
53,46391,bachelor,senior,Geneva,yes
51,39648,high_school,senior,London,no
32,32490,high_school,junior,Vienna,no
25,16761,high_school,entry,Berlin,no
26,32337,phd,entry,Vienna,yes
35,23894,bachelor,junior,Berlin,no
40,14100,master,senior,Berlin,yes
55,28064,bachelor,junior,Vienna,no
55,24293,bachelor,senior,Berlin,yes
20,48756,high_school,mid,Geneva,no
48,49016,master,entry,Vienna,yes
31,26441,high_school,junior,Vienna,yes
27,36096,bachelor,mid,Geneva,yes
42,12126,bachelor,mid,Berlin,no
21,32584,bachelor,junior,London,no
33,45984,master,entry,Cambridge,no
42,52374,high_school,mid,Cambridge,yes
30,29304,bachelor,entry,London,yes
43,55777,bachelor,senior,Geneva,yes
38,17264,bachelor,entry,Cambridge,no
51,21285,high_school,entry,Geneva,no
27,50644,high_school,junior,Berlin,no
22,65066,high_school,mid,Cambridge,no
41,47401,high_school,mid,Munich,yes
30,39394,bachelor,junior,Cambridge,yes
48,8000,bachelor,lead,Geneva,yes
23,9663,bachelor,junior,Cambridge,no
43,41941,bachelor,junior,Vienna,yes
59,34629,bachelor,junior,Geneva,yes
23,23412,high_school,entry,Munich,no
32,40982,bachelor,mid,Cambridge,yes
53,41726,high_school,entry,Berlin,no
41,54166,high_school,mid,Geneva,yes
26,42049,bachelor,entry,Geneva,no
28,58425,bachelor,lead,Vienna,yes
50,40119,high_school,junior,Munich,no
54,38269,bachelor,senior,Vienna,yes
34,55964,bachelor,junior,Geneva,yes
38,25323,bachelor,entry,Munich,yes
51,82216,bachelor,senior,Munich,yes
27,45628,bachelor,mid,London,yes
28,45712,high_school,senior,Munich,no
50,47876,master,junior,Munich,yes
27,68157,bachelor,mid,Vienna,yes
50,51887,bachelor,senior,Munich,yes
39,15924,bachelor,mid,Geneva,no
59,61052,bachelor,junior,Munich,no
21,34886,bachelor,mid,Geneva,no
57,41607,bachelor,mid,London,yes
29,20811,master,lead,Vienna,yes
21,47893,master,junior,Cambridge,yes
48,30229,bachelor,junior,London,yes
41,41502,bachelor,senior,Berlin,yes
53,35738,master,mid,Geneva,no
24,68875,high_school,mid,Munich,yes
23,69733,master,junior,Vienna,yes
42,40697,bachelor,entry,Munich,no
55,40959,high_school,mid,Cambridge,yes
36,34398,high_school,entry,Munich,yes
51,56590,master,entry,Vienna,no
56,35066,high_school,mid,Berlin,no
54,33679,high_school,mid,Cambridge,yes
40,54678,high_school,senior,Cambridge,yes
47,31925,high_school,junior,London,yes
41,39433,high_school,entry,Geneva,yes
46,16280,bachelor,lead,Berlin,no
42,50562,high_school,entry,London,no
41,69113,master,entry,Geneva,yes
37,50818,master,junior,Cambridge,yes
46,61926,bachelor,mid,London,no
50,27308,high_school,senior,Vienna,yes
56,43544,bachelor,senior,Cambridge,yes
44,25852,high_school,mid,London,yes
24,36583,bachelor,entry,Geneva,yes
43,51583,phd,junior,Berlin,yes
32,41527,phd,junior,Berlin,yes
21,18810,master,entry,Geneva,no
22,20274,high_school,junior,Vienna,yes
43,19282,bachelor,junior,Berlin,no
57,47371,bachelor,entry,Berlin,no
40,70958,bachelor,mid,London,yes
37,60436,bachelor,mid,London,yes
23,11560,high_school,entry,Berlin,no
47,61316,high_school,junior,Vienna,no
22,54046,bachelor,senior,Berlin,yes
53,16820,high_school,mid,London,yes
52,35451,high_school,senior,Cambridge,no
59,56432,master,junior,Cambridge,yes
31,48256,phd,senior,Vienna,yes
26,20363,bachelor,entry,Vienna,no
31,49161,master,junior,Cambridge,yes
51,8000,phd,entry,Vienna,no
28,36657,high_school,junior,Geneva,no
55,57069,bachelor,junior,London,yes
26,40275,bachelor,entry,Vienna,no
21,32515,high_school,senior,Cambridge,yes
28,53340,master,junior,Vienna,yes
50,54621,bachelor,junior,Cambridge,no
44,59650,bachelor,entry,Berlin,yes
34,53115,high_school,junior,Berlin,no
46,56220,high_school,junior,Berlin,yes
45,50993,master,junior,Vienna,yes
42,43982,high_school,entry,London,yes
40,41342,high_school,senior,Munich,no
24,36441,high_school,senior,Berlin,no
30,21814,bachelor,junior,Cambridge,no
41,25670,bachelor,mid,London,no
25,35769,bachelor,senior,Vienna,yes
39,43621,high_school,lead,Geneva,no
24,61612,high_school,mid,Geneva,yes
51,39373,master,senior,Berlin,no
24,55052,bachelor,senior,Munich,yes
23,56189,bachelor,senior,Cambridge,no
45,36528,bachelor,junior,Geneva,yes
28,48920,master,entry,London,yes
34,36347,high_school,entry,London,no
32,59832,bachelor,junior,Munich,yes
28,49537,bachelor,junior,Munich,yes
50,22142,high_school,junior,London,no
47,42422,master,mid,Berlin,yes
29,64721,bachelor,mid,Geneva,yes
47,37281,master,senior,Cambridge,yes
48,46715,master,entry,London,yes
41,48188,bachelor,entry,London,no
43,24450,master,senior,Berlin,no
57,47660,bachelor,senior,Munich,no
38,19092,master,lead,Munich,yes
35,30615,high_school,senior,Munich,no
41,56135,bachelor,senior,Munich,yes
53,45351,bachelor,junior,Cambridge,no
48,35432,high_school,junior,Berlin,yes
23,46696,bachelor,junior,London,yes
38,39098,master,mid,Vienna,no
49,40188,bachelor,senior,Vienna,no
28,49852,high_school,junior,Munich,yes
59,29089,high_school,mid,Munich,no
52,40605,high_school,junior,Vienna,no
53,35315,high_school,entry,Munich,no
23,16215,master,entry,London,yes
43,26193,bachelor,entry,Berlin,yes
41,63523,high_school,senior,Berlin,yes
45,45770,bachelor,junior,London,yes
54,20146,high_school,senior,Vienna,no
34,16894,high_school,mid,Berlin,yes
41,38317,bachelor,entry,Cambridge,no
47,63417,bachelor,entry,Berlin,no
50,37198,phd,senior,Cambridge,yes
50,59604,bachelor,junior,London,yes
33,45278,bachelor,senior,Cambridge,yes
59,47068,master,entry,Cambridge,no
20,19964,master,mid,Munich,yes
39,54062,bachelor,senior,London,yes
44,34976,phd,entry,Munich,yes
22,52946,master,junior,Geneva,yes
38,27787,master,lead,Munich,yes
43,42655,high_school,junior,Geneva,yes
44,45280,bachelor,junior,Cambridge,yes
24,37689,bachelor,junior,Geneva,no
31,46068,bachelor,junior,Berlin,yes
29,36004,bachelor,senior,Munich,yes
45,30264,phd,senior,London,yes
33,64082,phd,junior,Vienna,yes
42,55734,high_school,senior,Vienna,yes
49,28587,bachelor,entry,Geneva,yes
51,48526,bachelor,entry,Munich,yes
27,28859,high_school,mid,Vienna,yes
56,22229,high_school,lead,Vienna,yes
26,55507,high_school,entry,Cambridge,yes
20,14438,master,entry,Vienna,no
21,53902,bachelor,mid,Cambridge,no
28,36209,phd,senior,London,yes
54,36826,bachelor,entry,Berlin,yes
28,46146,phd,junior,Geneva,yes
47,48717,bachelor,mid,Geneva,no
36,27604,master,junior,Berlin,no
21,50765,high_school,entry,Munich,yes
37,41700,bachelor,entry,London,yes
21,21159,master,junior,Geneva,yes
39,37451,master,junior,Berlin,no
42,60719,master,senior,Munich,yes
40,65148,high_school,mid,Munich,yes
31,50760,bachelor,mid,Munich,yes
50,22144,high_school,lead,Berlin,yes
43,47359,high_school,junior,London,no
30,52762,bachelor,junior,London,no
37,50885,bachelor,senior,Geneva,yes
24,51774,master,entry,Vienna,yes
56,45448,master,mid,Cambridge,yes
50,38913,bachelor,senior,Cambridge,yes
31,30874,master,entry,Berlin,no
46,11530,high_school,junior,Cambridge,no
47,45094,high_school,entry,Berlin,no
44,42790,bachelor,entry,Berlin,yes
22,48363,master,junior,Geneva,yes
55,19936,high_school,junior,London,no
58,49675,bachelor,senior,Berlin,yes
58,70818,bachelor,senior,Munich,yes
59,41176,high_school,senior,Munich,no
57,39075,bachelor,junior,Geneva,yes
49,44635,master,junior,Cambridge,yes
22,70485,bachelor,junior,Munich,yes
38,24645,high_school,entry,Munich,yes
29,43048,master,senior,Berlin,yes
28,28005,high_school,junior,Munich,no
53,31794,master,entry,Berlin,yes
52,39256,high_school,senior,Vienna,no
40,60209,bachelor,junior,Geneva,no
49,67014,bachelor,entry,Geneva,no
25,46722,high_school,entry,London,yes
28,34351,master,mid,Vienna,yes
54,77391,high_school,senior,Berlin,yes
38,33586,high_school,entry,Geneva,no
41,31432,high_school,senior,Munich,no
38,13375,bachelor,senior,London,yes
28,60941,master,senior,Munich,yes
53,54523,phd,entry,Berlin,yes
50,76267,high_school,entry,London,no
47,19157,bachelor,senior,Geneva,yes
34,61872,high_school,junior,Berlin,no
45,41052,bachelor,mid,London,yes
58,52091,phd,senior,Munich,yes
45,15283,bachelor,entry,Cambridge,no
39,62021,bachelor,senior,London,yes
30,51797,bachelor,senior,Geneva,no
40,39416,master,mid,Vienna,yes
34,49676,bachelor,junior,Vienna,yes
44,28517,high_school,senior,Vienna,yes
21,31308,bachelor,mid,Berlin,yes
27,33048,high_school,mid,Munich,yes
51,12209,high_school,senior,Munich,yes
35,52926,high_school,mid,London,yes
37,57873,bachelor,junior,Berlin,yes
41,29479,bachelor,entry,Vienna,yes
37,45223,high_school,entry,London,no
50,36016,bachelor,mid,Cambridge,yes
29,44924,phd,mid,Munich,yes
50,30586,master,mid,Berlin,no
28,26748,bachelor,junior,London,no
34,55781,high_school,senior,Berlin,yes
43,39041,master,senior,Berlin,yes
55,70331,high_school,entry,Cambridge,no
29,40694,high_school,mid,Cambridge,yes
43,26108,master,mid,London,yes
22,58404,bachelor,mid,Cambridge,yes
23,49462,bachelor,entry,Berlin,no
50,50903,bachelor,senior,Berlin,yes
48,57859,bachelor,lead,Munich,yes
35,30208,high_school,mid,Berlin,yes
44,38091,high_school,senior,Cambridge,yes
35,37428,high_school,lead,Berlin,no
31,20638,high_school,junior,Vienna,yes
37,36046,master,mid,Cambridge,yes
32,60045,high_school,junior,London,yes
52,43560,bachelor,lead,Munich,yes
36,19809,master,entry,Geneva,no
32,16662,master,junior,Vienna,yes
41,64971,bachelor,senior,London,yes
50,38645,bachelor,junior,Geneva,no
30,30288,phd,senior,Munich,yes
57,35890,bachelor,junior,London,no
38,17840,master,lead,Cambridge,yes
46,61346,master,senior,Geneva,yes
58,34104,master,junior,Berlin,no
37,60511,high_school,senior,Vienna,yes
27,40774,bachelor,junior,Cambridge,yes
49,61442,high_school,mid,Cambridge,no
20,43850,bachelor,mid,Geneva,yes
38,52798,phd,senior,Berlin,yes
59,50786,bachelor,entry,Vienna,yes
36,49349,bachelor,entry,London,yes
47,45219,high_school,mid,Cambridge,no
41,36507,phd,mid,Berlin,yes
28,68731,high_school,junior,Munich,yes
32,26395,high_school,entry,Geneva,yes
40,40064,high_school,junior,Berlin,no
24,40223,high_school,senior,Cambridge,yes
36,46036,bachelor,entry,Berlin,yes
36,33557,bachelor,junior,Vienna,no
53,44721,high_school,senior,Cambridge,yes
24,37467,high_school,entry,London,no
53,16270,high_school,mid,London,no
