age,country,device_type,payment_method,purchase_complete
21,USA,mobile,wallet,no
64,Germany,desktop,ibanking,yes
35,Australia,mobile,ibanking,yes
18,Australia,desktop,wallet,yes
48,UK,desktop,card,yes
44,Australia,desktop,cash,yes
48,Australia,mobile,card,no
53,Germany,mobile,cash,no
40,Germany,desktop,cash,yes
56,Australia,desktop,wallet,no
35,Australia,mobile,wallet,no
43,Germany,desktop,cash,yes
25,USA,mobile,cash,yes
47,UK,desktop,ibanking,no
30,Germany,mobile,wallet,yes
50,Australia,mobile,wallet,yes
55,Germany,mobile,card,yes
58,USA,mobile,card,no
61,Germany,mobile,ibanking,yes
23,USA,mobile,cash,no
24,USA,mobile,card,no
61,USA,desktop,card,yes
35,Germany,mobile,cash,no
19,UK,desktop,cash,no
31,Germany,desktop,ibanking,yes
57,Germany,mobile,card,no
34,Australia,mobile,ibanking,no
21,Australia,desktop,ibanking,no
51,USA,desktop,cash,no
27,USA,mobile,card,yes
34,Germany,desktop,ibanking,yes
18,UK,mobile,ibanking,no
46,Germany,mobile,cash,no
38,Australia,desktop,cash,no
58,Germany,mobile,ibanking,no
33,UK,desktop,cash,no
27,Germany,mobile,cash,no
25,Germany,desktop,cash,yes
27,Australia,mobile,cash,no
39,UK,mobile,ibanking,yes
22,UK,mobile,cash,yes
36,USA,mobile,cash,no
58,UK,desktop,ibanking,no
54,UK,mobile,cash,yes
47,Australia,mobile,card,no
59,Germany,mobile,wallet,yes
54,USA,mobile,card,yes
48,USA,desktop,ibanking,yes
58,Australia,mobile,cash,no
23,Germany,tablet,card,no
56,USA,mobile,card,no
31,Germany,desktop,wallet,yes
52,UK,mobile,cash,no
60,Germany,mobile,cash,yes
41,Germany,desktop,ibanking,yes
22,USA,tablet,card,no
35,Germany,desktop,ibanking,no
37,Germany,mobile,cash,yes
62,Australia,mobile,ibanking,no
62,UK,desktop,card,yes
44,Germany,mobile,wallet,yes
62,Germany,desktop,card,no
38,USA,mobile,ibanking,no
37,UK,mobile,ibanking,no
57,Australia,desktop,cash,no
49,Germany,desktop,card,no
42,Germany,mobile,cash,no
39,Germany,mobile,wallet,yes
51,Germany,desktop,wallet,yes
53,USA,mobile,wallet,no
41,Germany,mobile,card,yes
19,Australia,mobile,ibanking,yes
22,USA,desktop,card,yes
24,Australia,desktop,ibanking,no
39,Germany,mobile,cash,no
46,USA,mobile,ibanking,no
55,USA,mobile,ibanking,yes
28,USA,mobile,wallet,no
54,Germany,mobile,cash,yes
49,Germany,mobile,cash,no
20,UK,desktop,ibanking,yes
34,Australia,mobile,card,yes
32,Germany,mobile,card,yes
59,Australia,mobile,ibanking,yes
61,USA,desktop,wallet,no
56,UK,desktop,ibanking,no
42,Germany,mobile,wallet,yes
41,UK,desktop,card,no
32,Germany,mobile,cash,no
54,Australia,mobile,ibanking,yes
22,USA,tablet,cash,no
30,Germany,mobile,card,yes
24,Germany,mobile,card,yes
41,Australia,mobile,wallet,no
32,UK,mobile,ibanking,no
27,Australia,desktop,cash,yes
35,UK,mobile,cash,no
58,USA,mobile,card,yes
44,Australia,mobile,wallet,no
56,USA,mobile,card,yes
60,Germany,mobile,wallet,yes
60,Germany,mobile,card,yes
34,USA,desktop,cash,no
59,USA,mobile,cash,no
60,Germany,mobile,wallet,no
63,Australia,mobile,card,yes
34,USA,mobile,cash,yes
28,UK,mobile,cash,no
45,USA,desktop,cash,yes
61,Australia,mobile,card,yes
60,Australia,desktop,wallet,no
44,Australia,tablet,cash,no
25,USA,mobile,cash,no
37,UK,mobile,cash,no
51,Australia,mobile,wallet,yes
44,Germany,desktop,cash,yes
34,Germany,mobile,cash,yes
34,USA,desktop,cash,yes
20,USA,desktop,cash,no
31,Germany,desktop,card,yes
49,Germany,mobile,ibanking,yes
29,Australia,tablet,card,yes
64,Germany,mobile,card,yes
21,USA,mobile,card,no
45,Germany,mobile,cash,yes
41,Germany,tablet,wallet,yes
57,UK,mobile,ibanking,yes
59,Germany,desktop,wallet,yes
43,Germany,mobile,cash,yes
47,Germany,tablet,wallet,no
50,Germany,mobile,card,no
42,Germany,mobile,ibanking,yes
26,Germany,tablet,wallet,no
38,Germany,mobile,ibanking,yes
29,Germany,mobile,wallet,no
39,Australia,mobile,cash,no
46,USA,mobile,card,no
27,Australia,mobile,wallet,yes
29,Germany,mobile,card,yes
56,Australia,mobile,wallet,no
35,UK,desktop,ibanking,yes
27,UK,mobile,wallet,yes
51,Germany,mobile,cash,yes
51,Germany,mobile,wallet,yes
56,Germany,mobile,card,yes
53,Germany,desktop,cash,yes
64,Australia,tablet,card,yes
45,Australia,tablet,wallet,no
31,Germany,mobile,ibanking,no
58,Australia,mobile,wallet,yes
30,Australia,mobile,wallet,yes
31,Germany,mobile,cash,yes
56,USA,mobile,card,no
59,Germany,desktop,wallet,yes
33,UK,mobile,cash,yes
52,Germany,mobile,card,yes
61,USA,mobile,wallet,yes
55,UK,mobile,wallet,no
18,UK,mobile,cash,no
49,USA,mobile,wallet,no
25,USA,desktop,card,yes
57,USA,mobile,card,yes
21,USA,mobile,cash,no
64,Germany,mobile,ibanking,yes
26,Australia,desktop,card,yes
37,Australia,mobile,card,no
29,UK,desktop,ibanking,yes
56,Australia,tablet,wallet,yes
36,Australia,mobile,ibanking,yes
52,USA,desktop,wallet,yes
21,Germany,mobile,wallet,no
39,Germany,tablet,ibanking,yes
60,Australia,mobile,ibanking,no
61,Australia,tablet,wallet,no
27,Germany,mobile,cash,no
36,Australia,mobile,card,no
37,Australia,mobile,wallet,no
44,Germany,desktop,cash,yes
43,Australia,mobile,wallet,no
22,USA,mobile,cash,yes
53,Germany,desktop,wallet,yes
28,UK,desktop,card,yes
32,UK,mobile,ibanking,yes
57,Australia,mobile,cash,no
50,Germany,mobile,cash,no
36,Australia,desktop,cash,yes
60,USA,mobile,wallet,no
36,USA,desktop,cash,no
44,USA,mobile,wallet,no
29,Australia,mobile,cash,no
26,USA,mobile,card,yes
41,Germany,mobile,wallet,yes
44,USA,desktop,card,no
55,Germany,mobile,cash,yes
36,USA,mobile,wallet,no
60,UK,tablet,wallet,yes
46,Germany,tablet,wallet,yes
21,USA,desktop,cash,no
52,Germany,mobile,wallet,no
45,USA,mobile,cash,yes
36,Germany,desktop,ibanking,yes
39,UK,mobile,ibanking,no
32,Germany,mobile,card,yes
46,UK,desktop,cash,no
44,USA,mobile,cash,yes
39,Australia,mobile,cash,yes
31,USA,tablet,cash,no
36,USA,desktop,ibanking,no
41,UK,mobile,card,no
40,Germany,mobile,card,no
32,Australia,mobile,wallet,no
45,Germany,mobile,cash,yes
28,USA,desktop,ibanking,yes
41,Germany,desktop,ibanking,no
23,Australia,mobile,ibanking,yes
40,Australia,mobile,cash,no
54,Australia,desktop,cash,no
56,Australia,mobile,wallet,yes
50,USA,mobile,wallet,no
53,USA,mobile,cash,no
21,Australia,desktop,ibanking,no
34,Australia,mobile,wallet,no
48,UK,desktop,card,yes
55,Germany,mobile,wallet,yes
45,Germany,desktop,cash,no
58,Germany,mobile,wallet,no
30,USA,mobile,ibanking,yes
25,Australia,mobile,wallet,yes
22,USA,mobile,card,no
45,USA,mobile,card,no
49,Germany,mobile,wallet,yes
31,UK,mobile,ibanking,yes
54,USA,mobile,ibanking,no
52,Germany,tablet,card,yes
34,Australia,mobile,card,no
29,Germany,desktop,wallet,yes
52,Germany,tablet,cash,no
49,Germany,mobile,ibanking,yes
26,UK,desktop,cash,yes
29,Australia,desktop,cash,no
40,Australia,desktop,card,yes
42,USA,mobile,wallet,yes
25,Australia,mobile,wallet,yes
62,UK,mobile,card,no
36,USA,mobile,cash,no
35,Australia,tablet,ibanking,no
20,Australia,tablet,cash,yes
59,UK,mobile,ibanking,no
29,USA,desktop,cash,no
64,UK,mobile,card,no
41,Germany,tablet,cash,yes
59,UK,mobile,ibanking,yes
26,USA,tablet,card,yes
25,Germany,desktop,wallet,no
55,Australia,mobile,card,no
56,USA,mobile,card,yes
43,Germany,desktop,ibanking,no
19,Australia,mobile,ibanking,no
62,USA,mobile,cash,yes
36,Germany,tablet,cash,yes
61,Australia,mobile,card,no
58,Australia,mobile,ibanking,no
58,Germany,mobile,cash,yes
50,UK,mobile,card,no
49,USA,tablet,cash,yes
43,Germany,mobile,wallet,no
19,UK,mobile,cash,no
36,UK,mobile,wallet,no
52,Germany,tablet,cash,no
56,USA,mobile,card,yes
44,Germany,desktop,cash,yes
51,UK,desktop,cash,yes
19,USA,desktop,card,no
40,USA,tablet,ibanking,no
41,Germany,desktop,cash,yes
59,UK,tablet,ibanking,yes
32,Germany,mobile,cash,yes
28,Germany,desktop,cash,yes
34,Germany,mobile,cash,no
26,USA,mobile,card,yes
44,Germany,desktop,ibanking,no
48,UK,tablet,card,no
55,USA,desktop,ibanking,no
63,Germany,mobile,wallet,yes
21,Germany,mobile,wallet,no
29,Germany,mobile,cash,yes
32,USA,mobile,cash,yes
29,USA,mobile,wallet,no
56,Germany,mobile,cash,yes
24,USA,mobile,cash,no
19,Germany,desktop,wallet,no
58,USA,mobile,wallet,yes
63,UK,tablet,wallet,no
28,USA,desktop,card,yes
33,USA,mobile,wallet,no
41,USA,mobile,card,yes
42,Germany,mobile,ibanking,yes
64,Germany,tablet,wallet,no
36,Germany,mobile,ibanking,yes
18,Australia,mobile,wallet,yes
37,USA,tablet,cash,yes
44,USA,tablet,cash,no
42,UK,mobile,cash,no
42,Germany,mobile,cash,yes
61,USA,mobile,ibanking,yes
55,Germany,mobile,cash,yes
29,Germany,mobile,ibanking,no
34,USA,mobile,cash,yes
49,UK,tablet,cash,no
37,USA,mobile,card,no
38,Germany,desktop,ibanking,yes
25,USA,mobile,wallet,yes
29,Germany,desktop,wallet,no
52,UK,desktop,cash,no
57,USA,desktop,cash,yes
54,Germany,tablet,ibanking,yes
32,Germany,mobile,ibanking,no
24,Germany,mobile,card,no
25,UK,mobile,ibanking,no
36,Australia,mobile,card,no
42,USA,tablet,card,no
59,USA,mobile,ibanking,no
60,Australia,desktop,card,yes
18,Germany,mobile,cash,no
51,UK,mobile,ibanking,yes
32,Germany,mobile,ibanking,yes
27,Australia,desktop,cash,no
44,USA,desktop,card,no
19,USA,mobile,wallet,no
33,UK,mobile,wallet,yes
43,Germany,desktop,wallet,yes
30,Australia,mobile,ibanking,no
45,Australia,tablet,cash,no
39,Australia,mobile,wallet,no
55,Germany,mobile,cash,no
26,Germany,mobile,card,no
20,Germany,mobile,wallet,no
42,Germany,mobile,cash,yes
30,Australia,mobile,wallet,no
51,USA,tablet,cash,no
22,USA,mobile,wallet,no
45,Australia,mobile,ibanking,no
64,Australia,mobile,cash,no
22,Germany,mobile,cash,no
32,Australia,mobile,wallet,no
57,Germany,mobile,card,yes
43,Germany,desktop,cash,no
26,Australia,mobile,cash,no
28,Australia,tablet,ibanking,no
53,Germany,mobile,cash,no
58,Australia,desktop,ibanking,yes
34,Australia,mobile,cash,no
40,USA,mobile,card,no
54,USA,desktop,card,yes
26,USA,desktop,ibanking,no
27,Germany,desktop,cash,no
54,USA,mobile,cash,yes
26,Australia,desktop,ibanking,no
54,Australia,desktop,cash,no
41,USA,desktop,cash,no
64,Australia,mobile,card,yes
19,Australia,desktop,cash,no
62,USA,desktop,ibanking,no
28,UK,tablet,ibanking,no
19,UK,mobile,wallet,yes
52,Australia,mobile,wallet,no
43,Australia,desktop,card,no
57,USA,mobile,cash,no
23,Germany,desktop,cash,yes
21,USA,mobile,ibanking,no
44,Australia,mobile,cash,no
59,Germany,desktop,wallet,yes
37,Germany,mobile,cash,no
55,USA,mobile,ibanking,no
60,Germany,desktop,card,no
58,Germany,desktop,wallet,no
41,Germany,desktop,wallet,no
50,Germany,mobile,wallet,no
42,Germany,mobile,cash,no
49,USA,tablet,card,yes
44,Germany,mobile,ibanking,yes
42,USA,mobile,cash,no
38,UK,mobile,wallet,yes
48,Australia,mobile,ibanking,no
53,Germany,desktop,ibanking,yes
61,USA,desktop,wallet,yes
46,Germany,desktop,wallet,yes
22,Australia,mobile,cash,no
45,UK,mobile,card,yes
32,UK,mobile,card,yes
19,USA,mobile,cash,no
21,Germany,mobile,ibanking,yes
45,USA,mobile,card,yes
62,USA,mobile,card,yes
41,Australia,mobile,ibanking,yes
38,USA,desktop,wallet,yes
22,Germany,mobile,card,no
49,Germany,mobile,ibanking,yes
20,Australia,desktop,card,yes
57,Germany,desktop,ibanking,yes
56,Germany,desktop,wallet,yes
64,USA,mobile,wallet,yes
31,UK,desktop,ibanking,yes
25,Australia,mobile,ibanking,yes
32,USA,mobile,wallet,no
55,UK,mobile,ibanking,yes
28,Germany,mobile,cash,yes
59,Australia,mobile,wallet,no
25,Australia,mobile,ibanking,yes
20,Germany,desktop,wallet,no
28,USA,mobile,ibanking,yes
53,Australia,mobile,wallet,no
46,Australia,mobile,card,yes
34,Germany,mobile,card,yes
48,Germany,mobile,card,no
48,UK,mobile,ibanking,no
44,Germany,mobile,ibanking,yes
42,Germany,desktop,card,no
22,Germany,tablet,card,yes
30,Australia,mobile,wallet,no
42,Australia,desktop,wallet,yes
24,Australia,desktop,ibanking,yes
40,Germany,tablet,cash,no
23,Germany,desktop,cash,yes
54,USA,desktop,card,no
22,USA,tablet,card,yes
22,USA,desktop,wallet,no
47,USA,mobile,cash,no
28,USA,mobile,ibanking,no
34,Germany,mobile,ibanking,no
32,Australia,mobile,cash,no
28,Australia,mobile,card,yes
53,Germany,mobile,ibanking,no
50,USA,mobile,card,yes
29,Australia,mobile,cash,yes
50,USA,desktop,wallet,yes
51,UK,mobile,ibanking,yes
43,Australia,mobile,wallet,yes
45,UK,desktop,card,no
61,Australia,desktop,card,no
39,UK,tablet,cash,no
36,Germany,desktop,cash,no
43,Australia,desktop,card,no
57,Australia,mobile,wallet,no
51,Germany,mobile,card,yes
21,Australia,mobile,ibanking,no
39,UK,desktop,ibanking,no
52,USA,tablet,ibanking,no
28,Germany,mobile,card,yes
64,Germany,mobile,cash,yes
55,Germany,mobile,ibanking,no
57,Germany,mobile,cash,yes
21,UK,mobile,ibanking,no
45,Australia,mobile,card,yes
42,Germany,tablet,card,no
47,Australia,mobile,ibanking,yes
57,Germany,desktop,ibanking,yes
34,Germany,desktop,card,no
43,USA,mobile,wallet,no
49,USA,mobile,card,no
53,UK,desktop,wallet,no
54,USA,mobile,ibanking,yes
33,Australia,tablet,wallet,yes
64,USA,mobile,wallet,yes
18,UK,desktop,cash,no
41,USA,desktop,wallet,yes
46,UK,mobile,card,no
20,USA,mobile,cash,yes
39,UK,tablet,card,yes
46,Germany,mobile,cash,yes
46,USA,mobile,wallet,yes
23,Australia,mobile,cash,yes
31,Australia,mobile,card,no
29,USA,desktop,cash,yes
48,UK,desktop,wallet,no
33,UK,mobile,ibanking,no
44,Germany,desktop,ibanking,yes
52,USA,mobile,cash,no
55,USA,mobile,cash,yes
26,Germany,mobile,ibanking,yes
60,Germany,tablet,ibanking,yes
25,Germany,mobile,wallet,no
19,USA,mobile,ibanking,no
20,Australia,mobile,wallet,yes
27,UK,desktop,wallet,no
59,Australia,mobile,card,no
27,UK,mobile,cash,no
50,Australia,desktop,cash,no
37,USA,mobile,card,no
19,Germany,mobile,card,no
38,Australia,mobile,wallet,no
19,USA,mobile,cash,yes
40,UK,mobile,card,yes
44,USA,desktop,cash,no
42,Germany,desktop,cash,no
31,Australia,desktop,card,yes
54,Germany,tablet,card,no
46,Germany,mobile,wallet,no
29,USA,mobile,wallet,no
38,USA,tablet,cash,yes
23,USA,mobile,ibanking,no
61,UK,desktop,wallet,no
53,USA,desktop,wallet,yes
31,USA,mobile,card,no
49,Germany,mobile,wallet,no
49,Germany,mobile,card,no
46,USA,mobile,card,yes
20,UK,mobile,cash,no
59,Germany,mobile,ibanking,yes
62,Australia,desktop,card,yes
63,USA,tablet,cash,yes
64,Germany,desktop,cash,no
61,Australia,mobile,cash,yes
52,UK,mobile,wallet,yes
20,USA,mobile,cash,yes
39,Germany,mobile,card,yes
29,UK,tablet,card,yes
28,Germany,mobile,card,yes
57,UK,mobile,card,yes
56,Germany,desktop,ibanking,yes
42,Australia,mobile,cash,no
52,Australia,mobile,cash,yes
24,Germany,mobile,wallet,yes
28,UK,desktop,ibanking,no
58,Germany,desktop,card,no
39,Germany,mobile,cash,yes
43,Germany,tablet,cash,yes
39,USA,desktop,wallet,yes
27,USA,desktop,cash,yes
56,UK,mobile,card,yes
53,Germany,mobile,ibanking,yes
50,Australia,desktop,cash,no
34,Germany,mobile,card,yes
48,Australia,desktop,ibanking,no
62,UK,desktop,card,no
48,USA,mobile,wallet,yes
41,Australia,desktop,wallet,no
30,Australia,tablet,cash,no
42,UK,desktop,ibanking,yes
35,Australia,mobile,ibanking,no
46,Germany,desktop,ibanking,no
20,Australia,mobile,card,yes
26,Germany,desktop,cash,no
54,Germany,desktop,card,no
35,Germany,desktop,ibanking,yes
38,Australia,mobile,card,no
43,USA,mobile,ibanking,yes
38,Germany,mobile,ibanking,yes
53,Australia,mobile,wallet,yes
29,UK,mobile,cash,no
53,USA,mobile,card,no
27,Australia,mobile,ibanking,yes
35,Germany,desktop,card,yes
45,UK,tablet,card,no
59,Germany,mobile,wallet,yes
28,Germany,desktop,wallet,yes
45,UK,desktop,ibanking,no
21,Australia,mobile,wallet,yes
21,USA,mobile,card,yes
54,Australia,desktop,card,yes
51,USA,tablet,cash,yes
35,Germany,desktop,card,yes
47,Germany,tablet,wallet,no
35,Germany,tablet,card,yes
31,Germany,mobile,ibanking,yes
38,UK,desktop,wallet,no
32,Germany,mobile,ibanking,yes
56,Australia,tablet,card,yes
37,USA,mobile,cash,no
33,USA,mobile,ibanking,no
43,Australia,desktop,wallet,yes
53,Australia,mobile,cash,no
30,UK,desktop,cash,no
62,USA,mobile,wallet,no
39,USA,tablet,wallet,no
49,UK,desktop,cash,no
62,USA,mobile,card,no
38,Germany,desktop,ibanking,no
27,Australia,mobile,wallet,no
53,Germany,desktop,wallet,no
18,USA,desktop,cash,no
39,UK,desktop,card,yes
64,Australia,mobile,ibanking,no
37,Australia,mobile,wallet,no
50,Germany,desktop,wallet,no
42,UK,mobile,card,yes
28,Germany,mobile,cash,yes
32,Germany,mobile,cash,no
42,Germany,mobile,card,no
22,Germany,desktop,wallet,yes
37,Australia,mobile,card,no
37,Australia,mobile,ibanking,no
57,Germany,tablet,wallet,no
23,Germany,mobile,ibanking,no
57,Germany,desktop,wallet,yes
37,Australia,mobile,cash,no
48,Germany,desktop,wallet,yes
44,USA,desktop,cash,no
32,Germany,desktop,card,yes
61,Germany,mobile,cash,yes
28,Australia,mobile,cash,no
19,Australia,desktop,ibanking,yes
53,Germany,mobile,cash,yes
47,Germany,mobile,cash,yes
59,UK,mobile,cash,no
39,Germany,tablet,cash,no
18,Australia,desktop,ibanking,no
18,Australia,desktop,cash,yes
38,Germany,desktop,wallet,yes
29,Australia,mobile,cash,no
61,USA,mobile,wallet,yes
23,USA,mobile,cash,yes
59,Germany,desktop,card,yes
28,Germany,mobile,card,yes
23,Germany,desktop,wallet,yes
30,Australia,desktop,wallet,no
24,USA,mobile,card,yes
36,Germany,mobile,ibanking,yes
33,Germany,mobile,ibanking,yes
42,UK,tablet,card,yes
43,Germany,tablet,cash,yes
18,Australia,tablet,ibanking,yes
23,USA,mobile,wallet,no
25,Germany,mobile,wallet,yes
27,Germany,mobile,card,yes
22,Germany,mobile,card,yes
32,UK,mobile,cash,yes
43,Germany,mobile,card,no
32,Germany,tablet,ibanking,yes
33,Germany,mobile,card,yes
40,Germany,mobile,card,no
43,USA,desktop,card,no
33,Germany,mobile,cash,no
28,Australia,desktop,wallet,no
37,Australia,desktop,card,yes
19,USA,desktop,wallet,no
41,Germany,desktop,cash,yes
62,UK,mobile,card,yes
36,USA,desktop,cash,no
23,Germany,mobile,ibanking,no
51,USA,mobile,card,no
23,UK,mobile,card,no
27,Germany,mobile,wallet,yes
24,UK,desktop,ibanking,no
59,Australia,mobile,cash,no
64,USA,mobile,wallet,yes
44,UK,mobile,wallet,no
47,Australia,desktop,cash,no
48,USA,mobile,ibanking,no
46,Germany,desktop,card,yes
43,USA,desktop,cash,yes
64,USA,mobile,ibanking,no
52,Germany,desktop,card,yes
22,Australia,mobile,wallet,no
36,Germany,mobile,wallet,yes
63,Germany,desktop,cash,yes
36,Germany,tablet,cash,no
27,Germany,mobile,card,no
58,Germany,mobile,ibanking,no
47,Germany,mobile,card,no
44,USA,mobile,cash,yes
37,USA,desktop,ibanking,yes
23,USA,desktop,ibanking,yes
36,Germany,desktop,ibanking,yes
38,UK,mobile,card,no
61,Australia,desktop,wallet,yes
32,Germany,desktop,ibanking,yes
25,Germany,desktop,wallet,yes
38,USA,mobile,cash,no
64,Germany,mobile,wallet,no
40,Australia,mobile,cash,no
35,UK,mobile,wallet,no
49,Germany,mobile,card,yes
48,Germany,mobile,card,yes
32,UK,desktop,ibanking,no
63,Australia,mobile,ibanking,yes
45,Germany,desktop,ibanking,yes
20,UK,mobile,cash,yes
37,UK,desktop,wallet,yes
61,Australia,mobile,cash,yes
36,USA,mobile,ibanking,no
44,Germany,desktop,wallet,no
46,Germany,tablet,ibanking,no
51,Australia,mobile,ibanking,no
58,Germany,mobile,wallet,yes
25,USA,desktop,wallet,yes
42,USA,desktop,cash,no
43,Germany,mobile,cash,no
25,Australia,mobile,card,yes
49,Germany,mobile,ibanking,yes
23,UK,tablet,wallet,no
39,Germany,mobile,cash,no
33,USA,mobile,cash,no
25,Australia,tablet,card,no
56,Australia,mobile,cash,no
29,USA,mobile,card,yes
29,USA,mobile,wallet,yes
58,Australia,mobile,ibanking,yes
59,USA,mobile,card,yes
19,UK,mobile,card,no
31,Australia,desktop,wallet,no
51,Australia,desktop,wallet,yes
54,Germany,mobile,wallet,no
64,USA,mobile,card,no
44,Australia,mobile,card,no
18,Australia,tablet,card,no
59,Germany,mobile,wallet,no
25,UK,desktop,wallet,no
23,Australia,mobile,wallet,no
49,USA,desktop,card,no
46,Germany,mobile,card,yes
20,UK,desktop,wallet,yes
25,Germany,mobile,wallet,yes
45,Germany,tablet,ibanking,yes
30,UK,mobile,card,yes
50,UK,desktop,card,yes
37,Germany,desktop,card,no
45,Australia,tablet,ibanking,yes
40,USA,mobile,wallet,no
35,UK,mobile,ibanking,yes
34,Australia,mobile,cash,yes
50,Australia,mobile,wallet,yes
42,USA,mobile,card,yes
45,USA,tablet,wallet,yes
45,USA,tablet,wallet,no
27,Australia,mobile,ibanking,yes
60,Germany,desktop,wallet,no
44,UK,desktop,ibanking,yes
51,UK,tablet,cash,no
59,USA,mobile,cash,yes
61,Germany,mobile,wallet,no
49,Germany,desktop,ibanking,yes
54,USA,mobile,card,yes
40,Germany,mobile,wallet,yes
52,UK,tablet,card,yes
33,Australia,tablet,ibanking,yes
51,USA,tablet,card,no
22,UK,desktop,ibanking,yes
60,Australia,mobile,cash,yes
29,Germany,mobile,cash,no
48,USA,mobile,ibanking,yes
18,Australia,mobile,wallet,yes
25,Australia,mobile,cash,no
64,USA,desktop,wallet,no
57,UK,mobile,cash,no
28,Australia,desktop,card,yes
24,Germany,mobile,card,no
56,Australia,mobile,card,yes
64,Australia,mobile,ibanking,no
25,Germany,mobile,ibanking,no
49,Germany,desktop,cash,no
31,USA,mobile,cash,yes
52,Germany,mobile,wallet,yes
37,UK,desktop,ibanking,no
23,Germany,mobile,card,yes
33,Germany,mobile,card,yes
43,USA,mobile,cash,no
55,UK,mobile,cash,no
18,Germany,desktop,wallet,yes
63,Germany,mobile,ibanking,yes
