age,income,education_level,approved
46,46788,high_school,1
40,44812,phd,1
18,43579,high_school,1
40,63666,bachelor,1
34,23986,high_school,1
47,39175,high_school,1
54,56990,high_school,1
58,58968,masters,1
43,18673,bachelor,1
33,35314,high_school,1
36,60371,high_school,1
25,47621,high_school,1
57,42928,bachelor,1
53,36734,high_school,1
53,34242,high_school,1
31,44323,masters,1
31,36214,masters,1
53,39361,high_school,1
40,41178,bachelor,1
47,29828,high_school,1
38,47981,bachelor,1
36,83713,high_school,1
44,13345,bachelor,1
52,44860,bachelor,1
32,28597,bachelor,1
51,48661,high_school,1
28,40698,masters,1
34,51427,high_school,1
56,57632,high_school,1
58,42886,bachelor,1
56,56980,high_school,1
31,8000,masters,1
53,63856,masters,1
57,45625,high_school,1
59,56167,phd,1
18,21701,high_school,1
49,27538,bachelor,1
59,42189,high_school,1
50,39744,masters,1
27,44246,high_school,1
50,56267,high_school,1
22,13521,high_school,0
38,54607,phd,1
44,40124,masters,1
37,36943,bachelor,1
47,17933,masters,1
28,47545,masters,1
43,8000,bachelor,0
45,49725,high_school,1
44,17618,bachelor,1
30,40801,bachelor,1
30,38212,high_school,1
28,57543,high_school,1
37,37320,bachelor,1
42,29587,high_school,1
33,32400,masters,1
35,59093,high_school,1
30,48044,high_school,1
27,34215,masters,1
45,36453,high_school,1
52,16492,high_school,0
30,45827,bachelor,1
54,13602,masters,1
41,51276,high_school,1
25,41929,high_school,1
33,75804,bachelor,1
18,23497,phd,1
19,38460,bachelor,1
32,66974,high_school,1
37,57870,high_school,1
51,29556,high_school,1
23,43359,high_school,1
53,40029,bachelor,1
27,44229,high_school,1
23,29519,bachelor,1
47,38660,bachelor,1
50,16029,bachelor,1
43,42026,high_school,1
22,46750,masters,1
22,36588,bachelor,1
34,15774,bachelor,1
36,54827,high_school,1
59,45467,high_school,1
30,29109,masters,1
26,35790,high_school,1
57,17489,high_school,1
24,24618,high_school,1
19,31932,bachelor,1
35,58426,phd,1
34,30407,high_school,1
44,49603,masters,1
54,31925,high_school,1
57,43719,bachelor,1
30,37879,bachelor,1
59,53095,high_school,1
44,31977,high_school,1
20,16412,high_school,1
57,19270,phd,1
23,32021,bachelor,1
42,21264,masters,1
51,46153,masters,1
28,33013,high_school,1
29,75619,bachelor,1
37,13934,high_school,0
55,43054,high_school,1
27,23080,masters,1
45,32598,bachelor,1
37,42121,high_school,1
22,8000,bachelor,1
47,43552,bachelor,1
52,68543,masters,1
42,33198,bachelor,1
25,43897,high_school,1
24,55373,high_school,1
35,37540,high_school,1
39,31285,bachelor,1
41,8000,masters,0
28,49614,high_school,1
39,38302,high_school,1
30,24809,high_school,1
46,41898,bachelor,1
51,31244,masters,1
45,32073,high_school,1
18,49094,high_school,1
59,19924,bachelor,1
18,55709,high_school,1
59,19034,masters,1
19,30059,high_school,1
39,68844,high_school,1
22,56910,masters,1
21,41464,high_school,1
46,25892,high_school,1
48,32060,high_school,1
22,41099,high_school,1
59,40562,high_school,1
31,38636,high_school,1
31,39537,high_school,1
30,36784,high_school,1
37,18370,bachelor,1
25,32252,bachelor,1
35,53719,high_school,1
26,19474,high_school,1
20,37156,bachelor,1
33,27703,masters,1
46,41670,masters,1
50,34170,high_school,1
32,62160,high_school,1
31,47598,high_school,1
51,20322,high_school,1
46,50068,bachelor,1
52,28380,high_school,1
56,31345,high_school,1
52,44707,high_school,1
57,32623,bachelor,1
35,53392,high_school,1
34,28382,masters,1
31,30715,high_school,1
27,30154,masters,1
49,31515,high_school,1
48,56487,masters,1
51,49431,masters,1
25,65649,phd,1
38,74014,masters,1
27,24539,bachelor,1
55,41056,bachelor,1
29,22356,bachelor,1
24,28335,high_school,1
41,30548,bachelor,1
54,24142,bachelor,1
56,24221,masters,1
22,37835,high_school,1
31,21749,high_school,1
24,52631,bachelor,1
30,26233,high_school,1
40,82143,high_school,1
29,33229,high_school,1
20,41080,high_school,1
39,20569,high_school,1
20,65591,high_school,1
27,56792,high_school,1
18,44453,high_school,1
21,19797,high_school,1
36,43160,bachelor,1
53,23178,high_school,1
50,61935,masters,1
22,52137,masters,1
19,41431,high_school,1
32,8000,high_school,0
45,25248,bachelor,1
49,50316,masters,1
52,58193,bachelor,1
32,56637,masters,1
25,16119,bachelor,1
19,44523,bachelor,1
24,55232,high_school,1
20,15124,bachelor,1
54,39881,high_school,1
29,44107,bachelor,1
52,35488,masters,1
41,12217,high_school,0
40,35114,bachelor,1
37,35090,high_school,1
52,37778,bachelor,1
19,31547,high_school,1
21,33354,masters,1
35,39404,high_school,1
34,46636,phd,1
40,35433,masters,1
48,33855,bachelor,1
42,41385,bachelor,1
28,11186,bachelor,1
31,47155,masters,1
49,39991,high_school,1
26,40595,bachelor,1
39,54411,high_school,1
40,10707,bachelor,1
49,10392,high_school,1
48,44107,bachelor,1
37,39893,bachelor,1
30,42552,high_school,1
33,33068,bachelor,1
35,49965,bachelor,1
27,53989,bachelor,1
44,47259,high_school,1
26,36087,bachelor,1
45,8384,masters,1
49,51538,high_school,1
58,58325,high_school,1
22,49668,high_school,1
49,26805,bachelor,1
21,50106,high_school,1
32,52907,bachelor,1
25,63382,bachelor,1
24,26858,high_school,1
25,36603,masters,1
19,51209,bachelor,1
52,40861,high_school,1
20,23240,high_school,1
34,46219,high_school,1
47,48679,high_school,1
59,41319,high_school,1
53,43293,masters,1
23,36119,high_school,1
59,62174,high_school,1
45,26489,bachelor,1
25,31190,bachelor,1
36,40164,masters,1
56,53184,bachelor,1
34,17539,high_school,1
25,20345,high_school,1
54,9434,phd,1
58,40490,bachelor,1
58,23225,phd,1
58,34231,high_school,1
54,49920,masters,1
37,30376,bachelor,1
26,43469,high_school,1
43,35509,bachelor,1
27,50081,bachelor,1
37,47126,high_school,1
45,29620,high_school,1
57,37470,masters,1
30,55656,high_school,1
28,45900,high_school,1
48,19045,high_school,1
18,49834,high_school,1
41,23730,masters,1
49,61187,bachelor,1
41,55361,high_school,1
34,44348,phd,1
52,42358,masters,1
33,36864,high_school,1
47,50177,masters,1
37,34438,high_school,1
19,43533,phd,1
40,53079,bachelor,1
20,31572,bachelor,1
57,30757,high_school,1
43,22084,masters,1
33,24032,high_school,1
38,12574,high_school,0
44,50947,high_school,1
28,67133,bachelor,1
30,61379,high_school,1
35,15608,masters,1
28,50872,bachelor,1
49,61331,high_school,1
22,33147,high_school,1
52,41521,high_school,1
32,9881,bachelor,1
41,44001,masters,1
24,24046,high_school,1
34,42994,masters,1
49,16581,high_school,0
29,48142,masters,1
23,55367,masters,1
39,28252,bachelor,1
24,22946,bachelor,1
31,8000,masters,1
36,36003,high_school,1
41,31276,high_school,1
44,16734,high_school,1
46,46795,bachelor,1
53,33250,bachelor,1
20,23863,bachelor,1
33,31681,masters,1
18,56069,high_school,1
18,49044,bachelor,1
26,38049,high_school,1
43,49286,high_school,1
55,22586,bachelor,1
50,40485,phd,1
45,42209,bachelor,1
50,32952,high_school,1
25,46531,bachelor,1
53,28293,high_school,1
55,47647,masters,1
21,48277,bachelor,1
37,8000,high_school,1
52,57854,high_school,1
37,8000,high_school,1
53,30759,phd,1
57,55380,high_school,1
37,35240,bachelor,1
20,18007,bachelor,1
32,23593,bachelor,1
27,55403,high_school,1
37,11177,masters,1
42,56934,high_school,1
37,39173,bachelor,1
26,22114,bachelor,1
30,31253,bachelor,1
46,24741,masters,1
19,52993,high_school,1
26,50986,bachelor,1
55,14212,high_school,1
22,33946,high_school,1
35,27052,high_school,1
26,59402,high_school,1
22,19748,high_school,1
35,64063,high_school,1
39,39500,high_school,1
25,22570,bachelor,1
21,29840,bachelor,1
23,27975,high_school,1
45,20880,high_school,1
54,41422,high_school,1
25,21581,bachelor,1
31,8000,high_school,1
32,34304,high_school,1
33,12957,high_school,1
28,28717,high_school,1
20,26363,high_school,1
40,26931,bachelor,1
33,70014,bachelor,1
32,40846,bachelor,1
29,43680,bachelor,1
57,13354,bachelor,0
43,30190,high_school,1
35,43229,bachelor,1
26,24632,bachelor,1
51,53620,high_school,1
55,21959,bachelor,1
19,35704,high_school,1
57,31209,bachelor,1
47,42464,bachelor,1
22,30392,masters,1
49,35936,masters,1
22,36458,bachelor,1
20,28984,bachelor,1
22,47276,bachelor,1
37,43575,high_school,1
44,38670,masters,1
35,33543,high_school,1
23,51948,high_school,1
26,36462,high_school,1
53,35399,masters,1
58,41570,high_school,1
49,65448,high_school,1
22,19894,high_school,1
52,51547,high_school,1
47,11602,high_school,0
40,43259,bachelor,1
24,63626,high_school,1
59,47330,masters,1
36,42559,masters,1
19,31593,high_school,1
26,40465,high_school,1
34,36219,bachelor,1
20,28210,high_school,1
31,35651,high_school,1
37,42975,phd,1
57,28491,phd,1
21,27905,bachelor,1
42,19596,high_school,1
56,45860,bachelor,1
51,48179,bachelor,1
56,43474,high_school,1
25,54477,bachelor,1
51,41318,high_school,1
59,45880,high_school,1
31,44557,bachelor,1
38,38626,high_school,1
40,32037,high_school,1
38,73212,masters,1
30,33220,phd,1
58,30011,bachelor,1
58,46510,masters,1
33,43777,phd,1
51,18928,high_school,1
34,56840,high_school,1
51,38587,high_school,1
42,23336,high_school,1
37,57831,bachelor,1
23,49385,high_school,1
45,21031,high_school,1
31,66657,high_school,1
27,49881,high_school,1
26,39847,masters,1
59,63853,high_school,1
22,42389,high_school,1
51,39578,high_school,1
54,30095,high_school,1
19,48727,bachelor,1
42,47149,high_school,1
42,40220,high_school,1
33,28150,high_school,1
46,41948,masters,1
35,38953,bachelor,1
36,19997,bachelor,1
36,17922,bachelor,1
51,48477,bachelor,1
44,8000,high_school,1
33,43081,high_school,1
56,32828,bachelor,1
51,59623,high_school,1
57,32597,masters,1
48,49892,high_school,1
34,34046,bachelor,1
50,41706,masters,1
31,51052,bachelor,1
29,33061,masters,1
36,54948,bachelor,1
58,25094,masters,1
41,44418,high_school,1
34,53839,high_school,1
37,49900,bachelor,1
30,68746,high_school,1
45,28548,high_school,1
32,19312,masters,1
41,25084,bachelor,1
33,49906,high_school,1
31,47468,high_school,1
58,41533,high_school,1
32,23155,high_school,1
20,51503,masters,1
33,21629,high_school,1
40,57384,high_school,1
21,82861,bachelor,1
30,45496,high_school,1
24,48746,high_school,1
39,32607,bachelor,1
48,12846,bachelor,1
58,30959,phd,1
34,23606,bachelor,1
54,18294,high_school,1
27,65835,bachelor,1
50,44092,masters,1
41,45695,bachelor,1
49,35364,phd,1
49,37406,bachelor,1
40,54468,masters,1
28,39514,high_school,1
40,47960,bachelor,1
52,37059,high_school,1
58,34867,bachelor,1
56,18896,bachelor,1
25,10333,phd,1
43,36076,phd,1
22,40847,high_school,1
46,20708,bachelor,1
59,39482,bachelor,1
20,40806,high_school,1
45,8000,high_school,1
57,26273,high_school,1
53,46108,bachelor,1
34,45805,high_school,1
22,22694,phd,1
56,42376,high_school,1
56,55336,phd,1
42,51656,high_school,1
59,38570,bachelor,1
18,32980,high_school,1
43,30559,bachelor,1
19,47017,masters,1
57,42926,masters,1
46,49441,masters,1
56,41978,high_school,1
41,52281,high_school,1
21,41418,high_school,1
19,51770,high_school,1
32,53062,bachelor,1
49,27932,bachelor,1
24,12877,bachelor,1
53,63152,masters,1
28,43849,bachelor,1
38,14282,masters,1
26,29292,high_school,1
37,51578,high_school,1
36,35804,bachelor,1
18,32319,masters,1
41,61013,high_school,1
51,24290,bachelor,1
57,28027,bachelor,1
31,43170,high_school,1
54,45856,high_school,1
54,47445,masters,1
59,53668,bachelor,1
33,42978,high_school,1
53,47340,masters,1
41,36111,high_school,1
20,40940,masters,1
29,41613,high_school,1
46,43226,bachelor,1
24,51588,high_school,1
36,48327,high_school,1
50,40663,masters,1
24,27863,high_school,1
38,41015,high_school,1
27,39579,high_school,1
40,42897,bachelor,1
28,73097,masters,1
58,32143,phd,1
21,46334,high_school,1
58,56026,high_school,1
51,41470,high_school,1
53,75067,bachelor,1
53,34329,phd,1
25,44861,bachelor,1
57,28017,bachelor,1
42,34727,high_school,1
58,43734,masters,1
54,52694,high_school,1
42,44786,high_school,1
33,58886,high_school,1
22,38575,high_school,1
22,35017,high_school,1
34,80559,high_school,1
52,45913,high_school,1
39,29207,bachelor,1
38,29586,high_school,1
28,25859,high_school,1
41,54048,phd,1
44,34534,bachelor,1
59,41910,bachelor,1
48,39047,high_school,1
43,50972,masters,1
56,27298,high_school,1
35,23866,high_school,1
57,43364,masters,1
33,49014,bachelor,1
23,44987,bachelor,1
35,27858,bachelor,1
23,50162,bachelor,1
22,28842,high_school,1
55,32176,high_school,1
51,25840,high_school,1
27,59517,high_school,1
53,49501,masters,1
20,49074,high_school,1
29,58708,bachelor,1
47,82189,bachelor,1
30,14361,bachelor,1
48,28924,high_school,1
54,30757,high_school,1
20,27237,phd,1
19,23836,bachelor,1
57,35505,masters,1
39,21750,masters,1
39,45025,bachelor,1
37,40775,high_school,1
36,47215,bachelor,1
46,47615,high_school,1
42,49045,bachelor,1
24,34398,phd,1
44,71817,bachelor,1
46,43516,high_school,1
22,12062,high_school,0
33,24964,phd,1
51,13892,high_school,1
43,40260,high_school,1
23,38172,high_school,1
19,32973,high_school,1
42,70163,high_school,1
37,48234,bachelor,1
58,50891,high_school,1
39,26033,high_school,1
57,25012,high_school,1
27,40552,high_school,1
36,42595,high_school,1
23,12155,bachelor,1
42,37295,high_school,1
25,40211,high_school,1
38,36772,high_school,1
32,27799,high_school,1
25,31906,high_school,1
22,37347,high_school,1
39,41362,masters,1
57,49071,high_school,1
26,56212,bachelor,1
35,35584,high_school,1
27,33157,high_school,1
51,46564,high_school,1
35,49162,bachelor,1
58,33486,masters,1
28,51855,high_school,1
21,54693,high_school,1
42,59375,high_school,1
45,66674,high_school,1
59,27003,bachelor,1
54,40208,high_school,1
55,40169,high_school,1
44,38528,masters,1
33,30261,high_school,1
36,17716,high_school,1
23,41390,bachelor,1
36,28474,high_school,1
33,41289,high_school,1
19,28089,high_school,1
26,23505,masters,1
40,43514,high_school,1
33,42263,high_school,1
59,48689,high_school,1
38,72787,high_school,1
58,44159,bachelor,1
45,47276,high_school,1
19,23836,bachelor,1
26,20696,bachelor,1
47,63742,masters,1
40,26147,high_school,1
30,24340,masters,1
39,39413,bachelor,1
55,38647,high_school,1
34,26462,bachelor,1
19,35425,masters,1
31,58440,high_school,1
57,27910,masters,1
49,19094,high_school,1
53,54138,bachelor,1
56,47384,phd,1
22,30692,high_school,1
29,16267,masters,1
20,28830,high_school,1
18,39179,bachelor,1
53,57485,bachelor,1
57,24451,high_school,1
24,38732,high_school,1
48,50127,high_school,1
40,8000,high_school,1
20,55506,high_school,1
56,22263,high_school,1
54,44979,high_school,1
41,43700,high_school,1
47,56268,bachelor,1
34,48263,bachelor,1
51,8000,bachelor,1
36,28228,high_school,1
59,42073,masters,1
20,37075,bachelor,1
25,47164,high_school,1
58,51840,high_school,1
30,49126,bachelor,1
31,36785,high_school,1
51,12304,bachelor,0
25,33167,phd,1
39,46245,high_school,1
30,23643,high_school,1
26,49469,phd,1
58,53625,bachelor,1
26,41903,high_school,1
21,8000,masters,1
46,20828,masters,1
54,68292,bachelor,1
23,31801,bachelor,1
47,10237,high_school,1
40,58528,high_school,1
52,40200,bachelor,1
23,56574,high_school,1
58,44154,bachelor,1
44,46878,masters,1
53,45445,high_school,1
33,50462,bachelor,1
57,74161,high_school,1
44,54565,masters,1
23,16294,high_school,1
56,46699,bachelor,1
51,57122,bachelor,1
30,58040,high_school,1
40,33600,bachelor,1
34,57474,bachelor,1
40,53916,bachelor,1
58,78587,bachelor,1
55,28749,phd,1
27,32388,high_school,1
58,35408,bachelor,1
36,32646,high_school,1
47,26649,bachelor,1
50,8000,bachelor,0
38,33479,high_school,1
37,45540,high_school,1
37,32601,masters,1
54,69030,high_school,1
34,40200,bachelor,1
29,59365,high_school,1
33,43921,phd,1
26,52396,high_school,1
34,44188,high_school,1
22,60531,masters,1
21,40839,masters,1
48,47441,high_school,1
21,45494,high_school,1
41,35675,bachelor,1
50,46074,masters,1
48,73515,high_school,1
36,35944,bachelor,1
26,46291,bachelor,1
57,58866,bachelor,1
53,57103,bachelor,1
43,40175,bachelor,1
21,8000,high_school,1
19,47750,masters,1
31,8000,masters,1
24,62049,bachelor,1
54,42542,high_school,1
26,54995,high_school,1
29,26468,bachelor,1
58,16712,high_school,0
52,43911,phd,1
27,39495,high_school,1
34,32626,bachelor,1
39,41269,masters,1
45,81511,high_school,1
57,52517,high_school,1
54,55742,bachelor,1
59,52659,bachelor,1
19,62191,high_school,1
27,37148,bachelor,1
41,9178,masters,1
20,37171,high_school,1
32,52176,high_school,1
24,25452,high_school,1
57,37354,high_school,1
20,29623,high_school,1
24,62530,high_school,1
26,51241,bachelor,1
24,49773,high_school,1
41,49324,phd,1
33,39441,high_school,1
56,42963,high_school,1
28,22222,bachelor,1
40,8000,masters,1
45,42251,high_school,1
44,44859,high_school,1
51,58138,high_school,1
26,63570,bachelor,1
39,63549,high_school,1
51,25029,high_school,1
54,34716,high_school,1
43,47205,high_school,1
45,77978,phd,1
54,62201,bachelor,1
44,56790,high_school,1
57,34183,high_school,1
23,26752,high_school,1
32,51833,high_school,1
22,23490,bachelor,1
21,36423,masters,1
37,38278,masters,1
27,63893,phd,1
35,34679,phd,1
36,8000,phd,1
44,47566,high_school,1
57,29514,high_school,1
53,40639,high_school,1
33,38699,bachelor,1
31,35894,high_school,1
50,51855,masters,1
23,17007,bachelor,1
40,32244,bachelor,1
35,50260,high_school,1
25,30788,high_school,1
43,15867,high_school,1
31,50028,masters,1
25,56846,bachelor,1
45,39325,bachelor,1
25,10587,high_school,0
46,50589,high_school,1
24,15101,high_school,1
36,44631,bachelor,1
51,26688,bachelor,1
27,22602,high_school,1
50,33371,masters,1
48,37250,high_school,1
55,30336,masters,1
25,48830,high_school,1
48,33308,high_school,1
57,54702,masters,1
50,44217,high_school,1
25,29536,high_school,1
52,27010,high_school,1
22,15287,high_school,1
42,44360,bachelor,1
38,34681,masters,1
40,8000,masters,1
39,31964,high_school,1
19,26484,bachelor,1
39,63635,high_school,1
57,14458,high_school,0
36,18379,high_school,1
29,56649,masters,1
59,60351,masters,1
22,28825,bachelor,1
38,30518,bachelor,1
39,49243,high_school,1
38,8000,bachelor,1
56,12082,bachelor,0
35,35788,high_school,1
58,63248,high_school,1
20,33464,high_school,1
48,41514,phd,1
42,57006,high_school,1
28,71603,phd,1
27,31347,high_school,1
48,39747,bachelor,1
44,67330,high_school,1
43,17167,high_school,1
20,55413,high_school,1
43,24725,high_school,1
59,41537,masters,1
18,36360,high_school,1
37,25629,bachelor,1
38,25253,high_school,1
55,44146,high_school,1
29,54933,bachelor,1
37,38053,high_school,1
48,41051,phd,1
20,48567,masters,1
51,25425,bachelor,1
52,51095,high_school,1
48,52290,high_school,1
45,79054,masters,1
49,34358,high_school,1
50,33128,high_school,1
55,51534,high_school,1
35,52286,bachelor,1
37,31973,bachelor,1
44,33952,bachelor,1
26,48116,bachelor,1
53,27586,high_school,1
50,33841,masters,1
44,41343,high_school,1
30,54939,bachelor,1
32,30931,high_school,1
36,12364,phd,1
45,11251,high_school,0
